date,value,raw_rate,raw_unit,normalized_rate,normalized_unit,stat_code,item_code,item_name,unit_name,series_code,notes,weekday,exclusion_reason
1977-04-02,1.745,174.5,KRW per 100 JPY,1.745,KRW per JPY,731Y001,2,원/일본엔(100엔),원,731Y001,JPY/KRW (KRW per JPY; raw ECOS value is KRW per 100 JPY),Saturday,weekend_observation
1977-04-09,1.7702,177.02,KRW per 100 JPY,1.7702,KRW per JPY,731Y001,2,원/일본엔(100엔),원,731Y001,JPY/KRW (KRW per JPY; raw ECOS value is KRW per 100 JPY),Saturday,weekend_observation
1977-04-16,1.7648,176.48,KRW per 100 JPY,1.7648,KRW per JPY,731Y001,2,원/일본엔(100엔),원,731Y001,JPY/KRW (KRW per JPY; raw ECOS value is KRW per 100 JPY),Saturday,weekend_observation
1977-04-23,1.7492,174.92,KRW per 100 JPY,1.7492,KRW per JPY,731Y001,2,원/일본엔(100엔),원,731Y001,JPY/KRW (KRW per JPY; raw ECOS value is KRW per 100 JPY),Saturday,weekend_observation
1977-04-30,1.7428,174.28,KRW per 100 JPY,1.7428,KRW per JPY,731Y001,2,원/일본엔(100엔),원,731Y001,JPY/KRW (KRW per JPY; raw ECOS value is KRW per 100 JPY),Saturday,weekend_observation
1977-05-07,1.7391,173.91,KRW per 100 JPY,1.7391,KRW per JPY,731Y001,2,원/일본엔(100엔),원,731Y001,JPY/KRW (KRW per JPY; raw ECOS value is KRW per 100 JPY),Saturday,weekend_observation
1977-05-14,1.7436,174.36,KRW per 100 JPY,1.7436,KRW per JPY,731Y001,2,원/일본엔(100엔),원,731Y001,JPY/KRW (KRW per JPY; raw ECOS value is KRW per 100 JPY),Saturday,weekend_observation
1977-05-21,1.7467,174.67,KRW per 100 JPY,1.7467,KRW per JPY,731Y001,2,원/일본엔(100엔),원,731Y001,JPY/KRW (KRW per JPY; raw ECOS value is KRW per 100 JPY),Saturday,weekend_observation
1977-05-28,1.7465000000000002,174.65,KRW per 100 JPY,1.7465000000000002,KRW per JPY,731Y001,2,원/일본엔(100엔),원,731Y001,JPY/KRW (KRW per JPY; raw ECOS value is KRW per 100 JPY),Saturday,weekend_observation
1977-06-11,1.76,176.0,KRW per 100 JPY,1.76,KRW per JPY,731Y001,2,원/일본엔(100엔),원,731Y001,JPY/KRW (KRW per JPY; raw ECOS value is KRW per 100 JPY),Saturday,weekend_observation
1977-06-18,1.7767,177.67,KRW per 100 JPY,1.7767,KRW per JPY,731Y001,2,원/일본엔(100엔),원,731Y001,JPY/KRW (KRW per JPY; raw ECOS value is KRW per 100 JPY),Saturday,weekend_observation
1977-06-25,1.7794,177.94,KRW per 100 JPY,1.7794,KRW per JPY,731Y001,2,원/일본엔(100엔),원,731Y001,JPY/KRW (KRW per JPY; raw ECOS value is KRW per 100 JPY),Saturday,weekend_observation
1977-07-02,1.8089,180.89,KRW per 100 JPY,1.8089,KRW per JPY,731Y001,2,원/일본엔(100엔),원,731Y001,JPY/KRW (KRW per JPY; raw ECOS value is KRW per 100 JPY),Saturday,weekend_observation
1977-07-09,1.8267,182.67,KRW per 100 JPY,1.8267,KRW per JPY,731Y001,2,원/일본엔(100엔),원,731Y001,JPY/KRW (KRW per JPY; raw ECOS value is KRW per 100 JPY),Saturday,weekend_observation
1977-07-30,1.8195,181.95,KRW per 100 JPY,1.8195,KRW per JPY,731Y001,2,원/일본엔(100엔),원,731Y001,JPY/KRW (KRW per JPY; raw ECOS value is KRW per 100 JPY),Saturday,weekend_observation
1977-08-06,1.8194,181.94,KRW per 100 JPY,1.8194,KRW per JPY,731Y001,2,원/일본엔(100엔),원,731Y001,JPY/KRW (KRW per JPY; raw ECOS value is KRW per 100 JPY),Saturday,weekend_observation
