item_code,kr_yield_source_published_at_kst,kr_yield_observation_date,kr_treasury_3y_percent,normalized_unit,item_name,kr_yield_safe_from_krw_date,stat_code,kr_yield_availability_rule,source,exclusion_reason,frequency,series_id,us_yield_gap_policy,us_yield_available_at_kst,us_yield_observation_date,us_treasury_3y_percent,us_yield_release_regime,h15_release_date,us_yield_safe_from_krw_date,unit,us_yield_available_at_et
,,,,,,,,,us_treasury_3y,empty_value,Daily,DGS3,none,2014-12-30T13:59:59+09:00,2014-12-25,,pre-2016-10-11 official weekly release; conservative ET day end,2014-12-29,2014-12-31,Percent,2014-12-29T23:59:59-05:00
,,,,,,,,,us_treasury_3y,empty_value,Daily,DGS3,none,2015-01-06T13:59:59+09:00,2015-01-01,,pre-2016-10-11 official weekly release; conservative ET day end,2015-01-05,2015-01-07,Percent,2015-01-05T23:59:59-05:00
,,,,,,,,,us_treasury_3y,empty_value,Daily,DGS3,none,2015-01-21T13:59:59+09:00,2015-01-19,,pre-2016-10-11 official weekly release; conservative ET day end,2015-01-20,2015-01-22,Percent,2015-01-20T23:59:59-05:00
,,,,,,,,,us_treasury_3y,empty_value,Daily,DGS3,none,2015-02-19T13:59:59+09:00,2015-02-16,,pre-2016-10-11 official weekly release; conservative ET day end,2015-02-18,2015-02-20,Percent,2015-02-18T23:59:59-05:00
,,,,,,,,,us_treasury_3y,empty_value,Daily,DGS3,none,2015-05-27T12:59:59+09:00,2015-05-25,,pre-2016-10-11 official weekly release; conservative ET day end,2015-05-26,2015-05-28,Percent,2015-05-26T23:59:59-04:00
,,,,,,,,,us_treasury_3y,empty_value,Daily,DGS3,none,2015-07-07T12:59:59+09:00,2015-07-03,,pre-2016-10-11 official weekly release; conservative ET day end,2015-07-06,2015-07-08,Percent,2015-07-06T23:59:59-04:00
,,,,,,,,,us_treasury_3y,empty_value,Daily,DGS3,none,2015-09-09T12:59:59+09:00,2015-09-07,,pre-2016-10-11 official weekly release; conservative ET day end,2015-09-08,2015-09-10,Percent,2015-09-08T23:59:59-04:00
,,,,,,,,,us_treasury_3y,empty_value,Daily,DGS3,none,2015-10-14T12:59:59+09:00,2015-10-12,,pre-2016-10-11 official weekly release; conservative ET day end,2015-10-13,2015-10-15,Percent,2015-10-13T23:59:59-04:00
,,,,,,,,,us_treasury_3y,empty_value,Daily,DGS3,none,2015-11-17T13:59:59+09:00,2015-11-11,,pre-2016-10-11 official weekly release; conservative ET day end,2015-11-16,2015-11-18,Percent,2015-11-16T23:59:59-05:00
,,,,,,,,,us_treasury_3y,empty_value,Daily,DGS3,none,2015-12-01T13:59:59+09:00,2015-11-26,,pre-2016-10-11 official weekly release; conservative ET day end,2015-11-30,2015-12-02,Percent,2015-11-30T23:59:59-05:00
,,,,,,,,,us_treasury_3y,empty_value,Daily,DGS3,none,2015-12-29T13:59:59+09:00,2015-12-25,,pre-2016-10-11 official weekly release; conservative ET day end,2015-12-28,2015-12-30,Percent,2015-12-28T23:59:59-05:00
,,,,,,,,,us_treasury_3y,empty_value,Daily,DGS3,none,2016-01-05T13:59:59+09:00,2016-01-01,,pre-2016-10-11 official weekly release; conservative ET day end,2016-01-04,2016-01-06,Percent,2016-01-04T23:59:59-05:00
,,,,,,,,,us_treasury_3y,empty_value,Daily,DGS3,none,2016-01-20T13:59:59+09:00,2016-01-18,,pre-2016-10-11 official weekly release; conservative ET day end,2016-01-19,2016-01-21,Percent,2016-01-19T23:59:59-05:00
,,,,,,,,,us_treasury_3y,empty_value,Daily,DGS3,none,2016-02-17T13:59:59+09:00,2016-02-15,,pre-2016-10-11 official weekly release; conservative ET day end,2016-02-16,2016-02-18,Percent,2016-02-16T23:59:59-05:00
,,,,,,,,,us_treasury_3y,empty_value,Daily,DGS3,none,2016-03-29T12:59:59+09:00,2016-03-25,,pre-2016-10-11 official weekly release; conservative ET day end,2016-03-28,2016-03-30,Percent,2016-03-28T23:59:59-04:00
,,,,,,,,,us_treasury_3y,empty_value,Daily,DGS3,none,2016-06-01T12:59:59+09:00,2016-05-30,,pre-2016-10-11 official weekly release; conservative ET day end,2016-05-31,2016-06-02,Percent,2016-05-31T23:59:59-04:00
,,,,,,,,,us_treasury_3y,empty_value,Daily,DGS3,none,2016-07-06T12:59:59+09:00,2016-07-04,,pre-2016-10-11 official weekly release; conservative ET day end,2016-07-05,2016-07-07,Percent,2016-07-05T23:59:59-04:00
,,,,,,,,,us_treasury_3y,empty_value,Daily,DGS3,none,2016-09-07T12:59:59+09:00,2016-09-05,,pre-2016-10-11 official weekly release; conservative ET day end,2016-09-06,2016-09-08,Percent,2016-09-06T23:59:59-04:00
,,,,,,,,,us_treasury_3y,empty_value,Daily,DGS3,deferred to first confirmed daily release on 2017-01-03,2017-01-04T06:15:00+09:00,2016-10-10,,post-2016-10-11 official daily H.15 calendar at 16:15 ET,2017-01-03,2017-01-05,Percent,2017-01-03T16:15:00-05:00
,,,,,,,,,us_treasury_3y,empty_value,Daily,DGS3,deferred to first confirmed daily release on 2017-01-03,2017-01-04T06:15:00+09:00,2016-11-11,,post-2016-10-11 official daily H.15 calendar at 16:15 ET,2017-01-03,2017-01-05,Percent,2017-01-03T16:15:00-05:00
,,,,,,,,,us_treasury_3y,empty_value,Daily,DGS3,deferred to first confirmed daily release on 2017-01-03,2017-01-04T06:15:00+09:00,2016-11-24,,post-2016-10-11 official daily H.15 calendar at 16:15 ET,2017-01-03,2017-01-05,Percent,2017-01-03T16:15:00-05:00
,,,,,,,,,us_treasury_3y,empty_value,Daily,DGS3,deferred to first confirmed daily release on 2017-01-03,2017-01-04T06:15:00+09:00,2016-12-26,,post-2016-10-11 official daily H.15 calendar at 16:15 ET,2017-01-03,2017-01-05,Percent,2017-01-03T16:15:00-05:00
,,,,,,,,,us_treasury_3y,empty_value,Daily,DGS3,deferred to first confirmed daily release on 2017-01-03,2017-01-04T06:15:00+09:00,2017-01-02,,post-2016-10-11 official daily H.15 calendar at 16:15 ET,2017-01-03,2017-01-05,Percent,2017-01-03T16:15:00-05:00
,,,,,,,,,us_treasury_3y,empty_value,Daily,DGS3,none,2017-01-18T06:15:00+09:00,2017-01-16,,post-2016-10-11 official daily H.15 calendar at 16:15 ET,2017-01-17,2017-01-19,Percent,2017-01-17T16:15:00-05:00
,,,,,,,,,us_treasury_3y,empty_value,Daily,DGS3,none,2017-02-22T06:15:00+09:00,2017-02-20,,post-2016-10-11 official daily H.15 calendar at 16:15 ET,2017-02-21,2017-02-23,Percent,2017-02-21T16:15:00-05:00
,,,,,,,,,us_treasury_3y,empty_value,Daily,DGS3,none,2017-04-18T05:15:00+09:00,2017-04-14,,post-2016-10-11 official daily H.15 calendar at 16:15 ET,2017-04-17,2017-04-19,Percent,2017-04-17T16:15:00-04:00
,,,,,,,,,us_treasury_3y,empty_value,Daily,DGS3,none,2017-05-31T05:15:00+09:00,2017-05-29,,post-2016-10-11 official daily H.15 calendar at 16:15 ET,2017-05-30,2017-06-01,Percent,2017-05-30T16:15:00-04:00
,,,,,,,,,us_treasury_3y,empty_value,Daily,DGS3,none,2017-07-06T05:15:00+09:00,2017-07-04,,post-2016-10-11 official daily H.15 calendar at 16:15 ET,2017-07-05,2017-07-07,Percent,2017-07-05T16:15:00-04:00
,,,,,,,,,us_treasury_3y,empty_value,Daily,DGS3,none,2017-09-06T05:15:00+09:00,2017-09-04,,post-2016-10-11 official daily H.15 calendar at 16:15 ET,2017-09-05,2017-09-07,Percent,2017-09-05T16:15:00-04:00
,,,,,,,,,us_treasury_3y,empty_value,Daily,DGS3,none,2017-10-11T05:15:00+09:00,2017-10-09,,post-2016-10-11 official daily H.15 calendar at 16:15 ET,2017-10-10,2017-10-12,Percent,2017-10-10T16:15:00-04:00
,,,,,,,,,us_treasury_3y,empty_value,Daily,DGS3,none,2017-11-25T06:15:00+09:00,2017-11-23,,post-2016-10-11 official daily H.15 calendar at 16:15 ET,2017-11-24,2017-11-26,Percent,2017-11-24T16:15:00-05:00
,,,,,,,,,us_treasury_3y,empty_value,Daily,DGS3,none,2017-12-27T06:15:00+09:00,2017-12-25,,post-2016-10-11 official daily H.15 calendar at 16:15 ET,2017-12-26,2017-12-28,Percent,2017-12-26T16:15:00-05:00
,,,,,,,,,us_treasury_3y,empty_value,Daily,DGS3,none,2018-01-03T06:15:00+09:00,2018-01-01,,post-2016-10-11 official daily H.15 calendar at 16:15 ET,2018-01-02,2018-01-04,Percent,2018-01-02T16:15:00-05:00
,,,,,,,,,us_treasury_3y,empty_value,Daily,DGS3,none,2018-01-17T06:15:00+09:00,2018-01-15,,post-2016-10-11 official daily H.15 calendar at 16:15 ET,2018-01-16,2018-01-18,Percent,2018-01-16T16:15:00-05:00
