kr_yield_source_published_at_kst,normalized_unit,kr_yield_observation_date,stat_code,item_name,kr_treasury_3y_percent,item_code,kr_yield_safe_from_krw_date,kr_yield_availability_rule,source,exclusion_reason,us_yield_gap_policy,unit,us_yield_observation_date,us_yield_available_at_kst,h15_release_date,series_id,us_treasury_3y_percent,us_yield_release_regime,frequency,us_yield_safe_from_krw_date,us_yield_available_at_et
,,,,,,,,,us_treasury_3y,empty_value,none,Percent,2014-11-27,2014-12-02T13:59:59+09:00,2014-12-01,DGS3,,pre-2016-10-11 official weekly release; conservative ET day end,Daily,2014-12-03,2014-12-01T23:59:59-05:00
,,,,,,,,,us_treasury_3y,empty_value,none,Percent,2014-12-25,2014-12-30T13:59:59+09:00,2014-12-29,DGS3,,pre-2016-10-11 official weekly release; conservative ET day end,Daily,2014-12-31,2014-12-29T23:59:59-05:00
,,,,,,,,,us_treasury_3y,empty_value,none,Percent,2015-01-01,2015-01-06T13:59:59+09:00,2015-01-05,DGS3,,pre-2016-10-11 official weekly release; conservative ET day end,Daily,2015-01-07,2015-01-05T23:59:59-05:00
,,,,,,,,,us_treasury_3y,empty_value,none,Percent,2015-01-19,2015-01-21T13:59:59+09:00,2015-01-20,DGS3,,pre-2016-10-11 official weekly release; conservative ET day end,Daily,2015-01-22,2015-01-20T23:59:59-05:00
,,,,,,,,,us_treasury_3y,empty_value,none,Percent,2015-02-16,2015-02-19T13:59:59+09:00,2015-02-18,DGS3,,pre-2016-10-11 official weekly release; conservative ET day end,Daily,2015-02-20,2015-02-18T23:59:59-05:00
,,,,,,,,,us_treasury_3y,empty_value,none,Percent,2015-05-25,2015-05-27T12:59:59+09:00,2015-05-26,DGS3,,pre-2016-10-11 official weekly release; conservative ET day end,Daily,2015-05-28,2015-05-26T23:59:59-04:00
,,,,,,,,,us_treasury_3y,empty_value,none,Percent,2015-07-03,2015-07-07T12:59:59+09:00,2015-07-06,DGS3,,pre-2016-10-11 official weekly release; conservative ET day end,Daily,2015-07-08,2015-07-06T23:59:59-04:00
,,,,,,,,,us_treasury_3y,empty_value,none,Percent,2015-09-07,2015-09-09T12:59:59+09:00,2015-09-08,DGS3,,pre-2016-10-11 official weekly release; conservative ET day end,Daily,2015-09-10,2015-09-08T23:59:59-04:00
,,,,,,,,,us_treasury_3y,empty_value,none,Percent,2015-10-12,2015-10-14T12:59:59+09:00,2015-10-13,DGS3,,pre-2016-10-11 official weekly release; conservative ET day end,Daily,2015-10-15,2015-10-13T23:59:59-04:00
,,,,,,,,,us_treasury_3y,empty_value,none,Percent,2015-11-11,2015-11-17T13:59:59+09:00,2015-11-16,DGS3,,pre-2016-10-11 official weekly release; conservative ET day end,Daily,2015-11-18,2015-11-16T23:59:59-05:00
,,,,,,,,,us_treasury_3y,empty_value,none,Percent,2015-11-26,2015-12-01T13:59:59+09:00,2015-11-30,DGS3,,pre-2016-10-11 official weekly release; conservative ET day end,Daily,2015-12-02,2015-11-30T23:59:59-05:00
,,,,,,,,,us_treasury_3y,empty_value,none,Percent,2015-12-25,2015-12-29T13:59:59+09:00,2015-12-28,DGS3,,pre-2016-10-11 official weekly release; conservative ET day end,Daily,2015-12-30,2015-12-28T23:59:59-05:00
,,,,,,,,,us_treasury_3y,empty_value,none,Percent,2016-01-01,2016-01-05T13:59:59+09:00,2016-01-04,DGS3,,pre-2016-10-11 official weekly release; conservative ET day end,Daily,2016-01-06,2016-01-04T23:59:59-05:00
,,,,,,,,,us_treasury_3y,empty_value,none,Percent,2016-01-18,2016-01-20T13:59:59+09:00,2016-01-19,DGS3,,pre-2016-10-11 official weekly release; conservative ET day end,Daily,2016-01-21,2016-01-19T23:59:59-05:00
,,,,,,,,,us_treasury_3y,empty_value,none,Percent,2016-02-15,2016-02-17T13:59:59+09:00,2016-02-16,DGS3,,pre-2016-10-11 official weekly release; conservative ET day end,Daily,2016-02-18,2016-02-16T23:59:59-05:00
,,,,,,,,,us_treasury_3y,empty_value,none,Percent,2016-03-25,2016-03-29T12:59:59+09:00,2016-03-28,DGS3,,pre-2016-10-11 official weekly release; conservative ET day end,Daily,2016-03-30,2016-03-28T23:59:59-04:00
,,,,,,,,,us_treasury_3y,empty_value,none,Percent,2016-05-30,2016-06-01T12:59:59+09:00,2016-05-31,DGS3,,pre-2016-10-11 official weekly release; conservative ET day end,Daily,2016-06-02,2016-05-31T23:59:59-04:00
,,,,,,,,,us_treasury_3y,empty_value,none,Percent,2016-07-04,2016-07-06T12:59:59+09:00,2016-07-05,DGS3,,pre-2016-10-11 official weekly release; conservative ET day end,Daily,2016-07-07,2016-07-05T23:59:59-04:00
,,,,,,,,,us_treasury_3y,empty_value,none,Percent,2016-09-05,2016-09-07T12:59:59+09:00,2016-09-06,DGS3,,pre-2016-10-11 official weekly release; conservative ET day end,Daily,2016-09-08,2016-09-06T23:59:59-04:00
,,,,,,,,,us_treasury_3y,empty_value,deferred to first confirmed daily release on 2017-01-03,Percent,2016-10-10,2017-01-04T06:15:00+09:00,2017-01-03,DGS3,,post-2016-10-11 official daily H.15 calendar at 16:15 ET,Daily,2017-01-05,2017-01-03T16:15:00-05:00
,,,,,,,,,us_treasury_3y,empty_value,deferred to first confirmed daily release on 2017-01-03,Percent,2016-11-11,2017-01-04T06:15:00+09:00,2017-01-03,DGS3,,post-2016-10-11 official daily H.15 calendar at 16:15 ET,Daily,2017-01-05,2017-01-03T16:15:00-05:00
,,,,,,,,,us_treasury_3y,empty_value,deferred to first confirmed daily release on 2017-01-03,Percent,2016-11-24,2017-01-04T06:15:00+09:00,2017-01-03,DGS3,,post-2016-10-11 official daily H.15 calendar at 16:15 ET,Daily,2017-01-05,2017-01-03T16:15:00-05:00
,,,,,,,,,us_treasury_3y,empty_value,deferred to first confirmed daily release on 2017-01-03,Percent,2016-12-26,2017-01-04T06:15:00+09:00,2017-01-03,DGS3,,post-2016-10-11 official daily H.15 calendar at 16:15 ET,Daily,2017-01-05,2017-01-03T16:15:00-05:00
,,,,,,,,,us_treasury_3y,empty_value,deferred to first confirmed daily release on 2017-01-03,Percent,2017-01-02,2017-01-04T06:15:00+09:00,2017-01-03,DGS3,,post-2016-10-11 official daily H.15 calendar at 16:15 ET,Daily,2017-01-05,2017-01-03T16:15:00-05:00
,,,,,,,,,us_treasury_3y,empty_value,none,Percent,2017-01-16,2017-01-18T06:15:00+09:00,2017-01-17,DGS3,,post-2016-10-11 official daily H.15 calendar at 16:15 ET,Daily,2017-01-19,2017-01-17T16:15:00-05:00
,,,,,,,,,us_treasury_3y,empty_value,none,Percent,2017-02-20,2017-02-22T06:15:00+09:00,2017-02-21,DGS3,,post-2016-10-11 official daily H.15 calendar at 16:15 ET,Daily,2017-02-23,2017-02-21T16:15:00-05:00
,,,,,,,,,us_treasury_3y,empty_value,none,Percent,2017-04-14,2017-04-18T05:15:00+09:00,2017-04-17,DGS3,,post-2016-10-11 official daily H.15 calendar at 16:15 ET,Daily,2017-04-19,2017-04-17T16:15:00-04:00
,,,,,,,,,us_treasury_3y,empty_value,none,Percent,2017-05-29,2017-05-31T05:15:00+09:00,2017-05-30,DGS3,,post-2016-10-11 official daily H.15 calendar at 16:15 ET,Daily,2017-06-01,2017-05-30T16:15:00-04:00
,,,,,,,,,us_treasury_3y,empty_value,none,Percent,2017-07-04,2017-07-06T05:15:00+09:00,2017-07-05,DGS3,,post-2016-10-11 official daily H.15 calendar at 16:15 ET,Daily,2017-07-07,2017-07-05T16:15:00-04:00
