date,value,raw_rate,raw_unit,normalized_rate,normalized_unit,stat_code,item_code,item_name,unit_name,series_code,notes
1977-04-01,1.745,174.5,KRW per 100 JPY,1.745,KRW per JPY,731Y001,0000002,원/일본엔(100엔),원,731Y001,JPY/KRW (KRW per JPY; raw ECOS value is KRW per 100 JPY)
1977-04-02,1.745,174.5,KRW per 100 JPY,1.745,KRW per JPY,731Y001,0000002,원/일본엔(100엔),원,731Y001,JPY/KRW (KRW per JPY; raw ECOS value is KRW per 100 JPY)
1977-04-04,1.745,174.5,KRW per 100 JPY,1.745,KRW per JPY,731Y001,0000002,원/일본엔(100엔),원,731Y001,JPY/KRW (KRW per JPY; raw ECOS value is KRW per 100 JPY)
1977-04-06,1.774,177.4,KRW per 100 JPY,1.774,KRW per JPY,731Y001,0000002,원/일본엔(100엔),원,731Y001,JPY/KRW (KRW per JPY; raw ECOS value is KRW per 100 JPY)
1977-04-07,1.7723,177.23,KRW per 100 JPY,1.7723,KRW per JPY,731Y001,0000002,원/일본엔(100엔),원,731Y001,JPY/KRW (KRW per JPY; raw ECOS value is KRW per 100 JPY)
1977-04-08,1.7712999999999999,177.13,KRW per 100 JPY,1.7712999999999999,KRW per JPY,731Y001,0000002,원/일본엔(100엔),원,731Y001,JPY/KRW (KRW per JPY; raw ECOS value is KRW per 100 JPY)
1977-04-09,1.7702,177.02,KRW per 100 JPY,1.7702,KRW per JPY,731Y001,0000002,원/일본엔(100엔),원,731Y001,JPY/KRW (KRW per JPY; raw ECOS value is KRW per 100 JPY)
1977-04-11,1.7702,177.02,KRW per 100 JPY,1.7702,KRW per JPY,731Y001,0000002,원/일본엔(100엔),원,731Y001,JPY/KRW (KRW per JPY; raw ECOS value is KRW per 100 JPY)
1977-04-12,1.7782,177.82,KRW per 100 JPY,1.7782,KRW per JPY,731Y001,0000002,원/일본엔(100엔),원,731Y001,JPY/KRW (KRW per JPY; raw ECOS value is KRW per 100 JPY)
1977-04-13,1.7847,178.47,KRW per 100 JPY,1.7847,KRW per JPY,731Y001,0000002,원/일본엔(100엔),원,731Y001,JPY/KRW (KRW per JPY; raw ECOS value is KRW per 100 JPY)
1977-04-14,1.7847,178.47,KRW per 100 JPY,1.7847,KRW per JPY,731Y001,0000002,원/일본엔(100엔),원,731Y001,JPY/KRW (KRW per JPY; raw ECOS value is KRW per 100 JPY)
