date,broad_usd_index,series_id,unit,frequency,h10_release_date,available_at_et,available_at_kst,safe_from_krw_date,availability_rule
2024-01-02,119.2686,DTWEXBGS,Index Jan 2006=100,Daily,2024-01-08,2024-01-08T16:15:00-05:00,2024-01-09T06:15:00+09:00,2024-01-10,first official H.10 release after observation week; usable from calendar day after KST release date
2024-01-03,119.6958,DTWEXBGS,Index Jan 2006=100,Daily,2024-01-08,2024-01-08T16:15:00-05:00,2024-01-09T06:15:00+09:00,2024-01-10,first official H.10 release after observation week; usable from calendar day after KST release date
2024-01-04,119.6208,DTWEXBGS,Index Jan 2006=100,Daily,2024-01-08,2024-01-08T16:15:00-05:00,2024-01-09T06:15:00+09:00,2024-01-10,first official H.10 release after observation week; usable from calendar day after KST release date
2024-01-05,119.388,DTWEXBGS,Index Jan 2006=100,Daily,2024-01-08,2024-01-08T16:15:00-05:00,2024-01-09T06:15:00+09:00,2024-01-10,first official H.10 release after observation week; usable from calendar day after KST release date
2024-01-08,119.2506,DTWEXBGS,Index Jan 2006=100,Daily,2024-01-16,2024-01-16T16:15:00-05:00,2024-01-17T06:15:00+09:00,2024-01-18,first official H.10 release after observation week; usable from calendar day after KST release date
2024-01-09,119.6666,DTWEXBGS,Index Jan 2006=100,Daily,2024-01-16,2024-01-16T16:15:00-05:00,2024-01-17T06:15:00+09:00,2024-01-18,first official H.10 release after observation week; usable from calendar day after KST release date
2024-01-10,119.7614,DTWEXBGS,Index Jan 2006=100,Daily,2024-01-16,2024-01-16T16:15:00-05:00,2024-01-17T06:15:00+09:00,2024-01-18,first official H.10 release after observation week; usable from calendar day after KST release date
2024-01-11,119.8916,DTWEXBGS,Index Jan 2006=100,Daily,2024-01-16,2024-01-16T16:15:00-05:00,2024-01-17T06:15:00+09:00,2024-01-18,first official H.10 release after observation week; usable from calendar day after KST release date
2024-01-12,119.534,DTWEXBGS,Index Jan 2006=100,Daily,2024-01-16,2024-01-16T16:15:00-05:00,2024-01-17T06:15:00+09:00,2024-01-18,first official H.10 release after observation week; usable from calendar day after KST release date
2024-01-15,,DTWEXBGS,Index Jan 2006=100,Daily,2024-01-22,2024-01-22T16:15:00-05:00,2024-01-23T06:15:00+09:00,2024-01-24,first official H.10 release after observation week; usable from calendar day after KST release date
2024-01-16,120.5759,DTWEXBGS,Index Jan 2006=100,Daily,2024-01-22,2024-01-22T16:15:00-05:00,2024-01-23T06:15:00+09:00,2024-01-24,first official H.10 release after observation week; usable from calendar day after KST release date
2024-01-17,121.0402,DTWEXBGS,Index Jan 2006=100,Daily,2024-01-22,2024-01-22T16:15:00-05:00,2024-01-23T06:15:00+09:00,2024-01-24,first official H.10 release after observation week; usable from calendar day after KST release date
2024-01-18,120.8895,DTWEXBGS,Index Jan 2006=100,Daily,2024-01-22,2024-01-22T16:15:00-05:00,2024-01-23T06:15:00+09:00,2024-01-24,first official H.10 release after observation week; usable from calendar day after KST release date
2024-01-19,120.6442,DTWEXBGS,Index Jan 2006=100,Daily,2024-01-22,2024-01-22T16:15:00-05:00,2024-01-23T06:15:00+09:00,2024-01-24,first official H.10 release after observation week; usable from calendar day after KST release date
2024-01-22,120.6178,DTWEXBGS,Index Jan 2006=100,Daily,2024-01-29,2024-01-29T16:15:00-05:00,2024-01-30T06:15:00+09:00,2024-01-31,first official H.10 release after observation week; usable from calendar day after KST release date
2024-01-23,121.1001,DTWEXBGS,Index Jan 2006=100,Daily,2024-01-29,2024-01-29T16:15:00-05:00,2024-01-30T06:15:00+09:00,2024-01-31,first official H.10 release after observation week; usable from calendar day after KST release date
2024-01-24,120.4916,DTWEXBGS,Index Jan 2006=100,Daily,2024-01-29,2024-01-29T16:15:00-05:00,2024-01-30T06:15:00+09:00,2024-01-31,first official H.10 release after observation week; usable from calendar day after KST release date
2024-01-25,120.8311,DTWEXBGS,Index Jan 2006=100,Daily,2024-01-29,2024-01-29T16:15:00-05:00,2024-01-30T06:15:00+09:00,2024-01-31,first official H.10 release after observation week; usable from calendar day after KST release date
2024-01-26,120.6173,DTWEXBGS,Index Jan 2006=100,Daily,2024-01-29,2024-01-29T16:15:00-05:00,2024-01-30T06:15:00+09:00,2024-01-31,first official H.10 release after observation week; usable from calendar day after KST release date
2024-01-29,120.8538,DTWEXBGS,Index Jan 2006=100,Daily,2024-02-05,2024-02-05T16:15:00-05:00,2024-02-06T06:15:00+09:00,2024-02-07,first official H.10 release after observation week; usable from calendar day after KST release date
2024-01-30,120.6025,DTWEXBGS,Index Jan 2006=100,Daily,2024-02-05,2024-02-05T16:15:00-05:00,2024-02-06T06:15:00+09:00,2024-02-07,first official H.10 release after observation week; usable from calendar day after KST release date
2024-01-31,120.4331,DTWEXBGS,Index Jan 2006=100,Daily,2024-02-05,2024-02-05T16:15:00-05:00,2024-02-06T06:15:00+09:00,2024-02-07,first official H.10 release after observation week; usable from calendar day after KST release date
2024-02-01,120.3335,DTWEXBGS,Index Jan 2006=100,Daily,2024-02-05,2024-02-05T16:15:00-05:00,2024-02-06T06:15:00+09:00,2024-02-07,first official H.10 release after observation week; usable from calendar day after KST release date
2024-02-02,120.902,DTWEXBGS,Index Jan 2006=100,Daily,2024-02-05,2024-02-05T16:15:00-05:00,2024-02-06T06:15:00+09:00,2024-02-07,first official H.10 release after observation week; usable from calendar day after KST release date
2024-02-05,121.349,DTWEXBGS,Index Jan 2006=100,Daily,2024-02-12,2024-02-12T16:15:00-05:00,2024-02-13T06:15:00+09:00,2024-02-14,first official H.10 release after observation week; usable from calendar day after KST release date
2024-02-06,120.9588,DTWEXBGS,Index Jan 2006=100,Daily,2024-02-12,2024-02-12T16:15:00-05:00,2024-02-13T06:15:00+09:00,2024-02-14,first official H.10 release after observation week; usable from calendar day after KST release date
2024-02-07,120.9049,DTWEXBGS,Index Jan 2006=100,Daily,2024-02-12,2024-02-12T16:15:00-05:00,2024-02-13T06:15:00+09:00,2024-02-14,first official H.10 release after observation week; usable from calendar day after KST release date
2024-02-08,121.0798,DTWEXBGS,Index Jan 2006=100,Daily,2024-02-12,2024-02-12T16:15:00-05:00,2024-02-13T06:15:00+09:00,2024-02-14,first official H.10 release after observation week; usable from calendar day after KST release date
2024-02-09,121.039,DTWEXBGS,Index Jan 2006=100,Daily,2024-02-12,2024-02-12T16:15:00-05:00,2024-02-13T06:15:00+09:00,2024-02-14,first official H.10 release after observation week; usable from calendar day after KST release date
2024-02-12,120.9378,DTWEXBGS,Index Jan 2006=100,Daily,2024-02-20,2024-02-20T16:15:00-05:00,2024-02-21T06:15:00+09:00,2024-02-22,first official H.10 release after observation week; usable from calendar day after KST release date
2024-02-13,121.5202,DTWEXBGS,Index Jan 2006=100,Daily,2024-02-20,2024-02-20T16:15:00-05:00,2024-02-21T06:15:00+09:00,2024-02-22,first official H.10 release after observation week; usable from calendar day after KST release date
2024-02-14,121.4002,DTWEXBGS,Index Jan 2006=100,Daily,2024-02-20,2024-02-20T16:15:00-05:00,2024-02-21T06:15:00+09:00,2024-02-22,first official H.10 release after observation week; usable from calendar day after KST release date
2024-02-15,121.2121,DTWEXBGS,Index Jan 2006=100,Daily,2024-02-20,2024-02-20T16:15:00-05:00,2024-02-21T06:15:00+09:00,2024-02-22,first official H.10 release after observation week; usable from calendar day after KST release date
2024-02-16,121.1505,DTWEXBGS,Index Jan 2006=100,Daily,2024-02-20,2024-02-20T16:15:00-05:00,2024-02-21T06:15:00+09:00,2024-02-22,first official H.10 release after observation week; usable from calendar day after KST release date
2024-02-19,,DTWEXBGS,Index Jan 2006=100,Daily,2024-02-26,2024-02-26T16:15:00-05:00,2024-02-27T06:15:00+09:00,2024-02-28,first official H.10 release after observation week; usable from calendar day after KST release date
2024-02-20,121.0199,DTWEXBGS,Index Jan 2006=100,Daily,2024-02-26,2024-02-26T16:15:00-05:00,2024-02-27T06:15:00+09:00,2024-02-28,first official H.10 release after observation week; usable from calendar day after KST release date
2024-02-21,121.0379,DTWEXBGS,Index Jan 2006=100,Daily,2024-02-26,2024-02-26T16:15:00-05:00,2024-02-27T06:15:00+09:00,2024-02-28,first official H.10 release after observation week; usable from calendar day after KST release date
2024-02-22,121.102,DTWEXBGS,Index Jan 2006=100,Daily,2024-02-26,2024-02-26T16:15:00-05:00,2024-02-27T06:15:00+09:00,2024-02-28,first official H.10 release after observation week; usable from calendar day after KST release date
2024-02-23,121.0369,DTWEXBGS,Index Jan 2006=100,Daily,2024-02-26,2024-02-26T16:15:00-05:00,2024-02-27T06:15:00+09:00,2024-02-28,first official H.10 release after observation week; usable from calendar day after KST release date
2024-02-26,121.0592,DTWEXBGS,Index Jan 2006=100,Daily,2024-03-04,2024-03-04T16:15:00-05:00,2024-03-05T06:15:00+09:00,2024-03-06,first official H.10 release after observation week; usable from calendar day after KST release date
2024-02-27,120.9647,DTWEXBGS,Index Jan 2006=100,Daily,2024-03-04,2024-03-04T16:15:00-05:00,2024-03-05T06:15:00+09:00,2024-03-06,first official H.10 release after observation week; usable from calendar day after KST release date
2024-02-28,121.128,DTWEXBGS,Index Jan 2006=100,Daily,2024-03-04,2024-03-04T16:15:00-05:00,2024-03-05T06:15:00+09:00,2024-03-06,first official H.10 release after observation week; usable from calendar day after KST release date
2024-02-29,121.1824,DTWEXBGS,Index Jan 2006=100,Daily,2024-03-04,2024-03-04T16:15:00-05:00,2024-03-05T06:15:00+09:00,2024-03-06,first official H.10 release after observation week; usable from calendar day after KST release date
2024-03-01,121.0111,DTWEXBGS,Index Jan 2006=100,Daily,2024-03-04,2024-03-04T16:15:00-05:00,2024-03-05T06:15:00+09:00,2024-03-06,first official H.10 release after observation week; usable from calendar day after KST release date
2024-03-04,120.872,DTWEXBGS,Index Jan 2006=100,Daily,2024-03-11,2024-03-11T16:15:00-04:00,2024-03-12T05:15:00+09:00,2024-03-13,first official H.10 release after observation week; usable from calendar day after KST release date
