date,usd_krw_krw_per_usd,jpy_krw_same_date_audit_only,jpy_krw_krw_per_jpy_lag1,jpy_source_date_lag1
1977-04-04,484.0,1.745,1.745,1977-04-01
1977-04-06,484.0,1.774,1.745,1977-04-04
1977-04-07,484.0,1.7723,1.774,1977-04-06
1977-04-08,484.0,1.7713,1.7723,1977-04-07
1977-04-11,484.0,1.7702,1.7713,1977-04-08
1977-04-12,484.0,1.7782,1.7702,1977-04-11
1977-04-13,484.0,1.7847,1.7782,1977-04-12
1977-04-14,484.0,1.7847,1.7847,1977-04-13
1977-04-15,484.0,1.7719,1.7847,1977-04-14
1977-04-18,484.0,1.7648,1.7719,1977-04-15
1977-04-19,484.0,1.7678,1.7648,1977-04-18
1977-04-20,484.0,1.7524000000000002,1.7678,1977-04-19
1977-04-22,484.0,1.7379,1.7524000000000002,1977-04-20
1977-04-25,484.0,1.7492,1.7379,1977-04-22
1977-04-26,484.0,1.7391,1.7492,1977-04-25
1977-04-28,484.0,1.7391,1.7391,1977-04-26
1977-04-29,484.0,1.7428,1.7391,1977-04-28
1977-05-02,484.0,1.7428,1.7428,1977-04-29
1977-05-03,484.0,1.7393,1.7428,1977-05-02
1977-05-04,484.0,1.7393,1.7393,1977-05-03
1977-05-06,484.0,1.7391,1.7393,1977-05-04
1977-05-09,484.0,1.7391,1.7391,1977-05-06
1977-05-10,484.0,1.7419,1.7391,1977-05-09
1977-05-11,484.0,1.7397,1.7419,1977-05-10
1977-05-12,484.0,1.7445,1.7397,1977-05-11
1977-05-13,484.0,1.7353999999999998,1.7445,1977-05-12
1977-05-16,484.0,1.7436,1.7353999999999998,1977-05-13
1977-05-17,484.0,1.7448,1.7436,1977-05-16
1977-05-18,484.0,1.7441,1.7448,1977-05-17
1977-05-19,484.0,1.7441,1.7441,1977-05-18
1977-05-20,484.0,1.7445,1.7441,1977-05-19
1977-05-23,484.0,1.7467,1.7445,1977-05-20
1977-05-24,484.0,1.7453999999999998,1.7467,1977-05-23
1977-05-26,484.0,1.7479,1.7453999999999998,1977-05-24
1977-05-27,484.0,1.7443,1.7479,1977-05-26
1977-05-30,484.0,1.7465000000000002,1.7443,1977-05-27
1977-05-31,484.0,1.7467,1.7465000000000002,1977-05-30
1977-06-01,484.0,1.7453999999999998,1.7467,1977-05-31
1977-06-02,484.0,1.7453999999999998,1.7453999999999998,1977-06-01
1977-06-03,484.0,1.7482,1.7453999999999998,1977-06-02
1977-06-07,484.0,1.7506,1.7482,1977-06-03
1977-06-08,484.0,1.7571,1.7506,1977-06-07
1977-06-09,484.0,1.7578,1.7571,1977-06-08
1977-06-10,484.0,1.766,1.7578,1977-06-09
1977-06-13,484.0,1.7684,1.766,1977-06-10
1977-06-14,484.0,1.7748,1.7684,1977-06-13
