requested_origin,forecast_origin_date,forecast_origin_value,forecast_step,target_date,actual_value,chronos_q0.1_lower,chronos_q0.5_median,chronos_q0.9_upper,random_walk_forecast,history_rows,context_length,mase_scale_training_only,model_id,interval_correction,corrected_q0.1_lower,corrected_q0.5_median,corrected_q0.9_upper,evaluation_role,year,lead_segment
2020-01-01,2019-12-31,1157.8,1,2020-01-02,1157.8,1152.3863525390625,1157.99853515625,1163.9461669921875,1157.8,13785,756,2.3138762333139873,amazon/chronos-2,3.008544921875,1149.3778076171875,1157.99853515625,1166.9547119140625,internal_evaluation_2020_2021,2020,D+1~D+5
2020-01-01,2019-12-31,1157.8,2,2020-01-03,1156.9,1150.590087890625,1158.421142578125,1166.175048828125,1157.8,13785,756,2.3138762333139873,amazon/chronos-2,3.008544921875,1147.58154296875,1158.421142578125,1169.18359375,internal_evaluation_2020_2021,2020,D+1~D+5
2020-01-01,2019-12-31,1157.8,3,2020-01-06,1162.7,1148.4327392578125,1158.288330078125,1167.970703125,1157.8,13785,756,2.3138762333139873,amazon/chronos-2,3.008544921875,1145.4241943359375,1158.288330078125,1170.979248046875,internal_evaluation_2020_2021,2020,D+1~D+5
2020-01-01,2019-12-31,1157.8,4,2020-01-07,1169.6,1147.9425048828125,1158.4937744140625,1169.75439453125,1157.8,13785,756,2.3138762333139873,amazon/chronos-2,3.008544921875,1144.9339599609375,1158.4937744140625,1172.762939453125,internal_evaluation_2020_2021,2020,D+1~D+5
2020-01-01,2019-12-31,1157.8,5,2020-01-08,1165.3,1146.680419921875,1158.44189453125,1171.7220458984375,1157.8,13785,756,2.3138762333139873,amazon/chronos-2,3.008544921875,1143.671875,1158.44189453125,1174.7305908203125,internal_evaluation_2020_2021,2020,D+1~D+5
2020-01-01,2019-12-31,1157.8,6,2020-01-09,1174.1,1145.586181640625,1158.4910888671875,1172.479736328125,1157.8,13785,756,2.3138762333139873,amazon/chronos-2,3.008544921875,1142.57763671875,1158.4910888671875,1175.48828125,internal_evaluation_2020_2021,2020,D+6~D+10
2020-01-01,2019-12-31,1157.8,7,2020-01-10,1160.0,1143.8636474609375,1158.4814453125,1173.139404296875,1157.8,13785,756,2.3138762333139873,amazon/chronos-2,3.008544921875,1140.8551025390625,1158.4814453125,1176.14794921875,internal_evaluation_2020_2021,2020,D+6~D+10
2020-01-01,2019-12-31,1157.8,8,2020-01-13,1161.1,1143.1170654296875,1158.6165771484375,1174.6614990234375,1157.8,13785,756,2.3138762333139873,amazon/chronos-2,3.008544921875,1140.1085205078125,1158.6165771484375,1177.6700439453125,internal_evaluation_2020_2021,2020,D+6~D+10
2020-01-01,2019-12-31,1157.8,9,2020-01-14,1155.7,1142.060546875,1158.6053466796875,1175.5736083984375,1157.8,13785,756,2.3138762333139873,amazon/chronos-2,3.008544921875,1139.052001953125,1158.6053466796875,1178.5821533203125,internal_evaluation_2020_2021,2020,D+6~D+10
2020-01-01,2019-12-31,1157.8,10,2020-01-15,1153.1,1141.2305908203125,1158.5518798828125,1176.763671875,1157.8,13785,756,2.3138762333139873,amazon/chronos-2,3.008544921875,1138.2220458984375,1158.5518798828125,1179.772216796875,internal_evaluation_2020_2021,2020,D+6~D+10
2020-01-01,2019-12-31,1157.8,11,2020-01-16,1158.8,1140.14013671875,1158.5145263671875,1177.5311279296875,1157.8,13785,756,2.3138762333139873,amazon/chronos-2,3.008544921875,1137.131591796875,1158.5145263671875,1180.5396728515625,internal_evaluation_2020_2021,2020,D+11~D+20
2020-01-01,2019-12-31,1157.8,12,2020-01-17,1159.6,1139.9034423828125,1158.5550537109375,1177.8804931640625,1157.8,13785,756,2.3138762333139873,amazon/chronos-2,3.008544921875,1136.8948974609375,1158.5550537109375,1180.8890380859375,internal_evaluation_2020_2021,2020,D+11~D+20
2020-01-01,2019-12-31,1157.8,13,2020-01-20,1158.8,1139.13916015625,1158.486328125,1177.944580078125,1157.8,13785,756,2.3138762333139873,amazon/chronos-2,3.008544921875,1136.130615234375,1158.486328125,1180.953125,internal_evaluation_2020_2021,2020,D+11~D+20
2020-01-01,2019-12-31,1157.8,14,2020-01-21,1158.8,1138.4569091796875,1158.425048828125,1179.1998291015625,1157.8,13785,756,2.3138762333139873,amazon/chronos-2,3.008544921875,1135.4483642578125,1158.425048828125,1182.2083740234375,internal_evaluation_2020_2021,2020,D+11~D+20
2020-01-01,2019-12-31,1157.8,15,2020-01-22,1164.7,1137.71142578125,1158.565673828125,1179.296142578125,1157.8,13785,756,2.3138762333139873,amazon/chronos-2,3.008544921875,1134.702880859375,1158.565673828125,1182.3046875,internal_evaluation_2020_2021,2020,D+11~D+20
2020-01-01,2019-12-31,1157.8,16,2020-01-23,1165.1,1136.31005859375,1158.0789794921875,1180.1578369140625,1157.8,13785,756,2.3138762333139873,amazon/chronos-2,3.008544921875,1133.301513671875,1158.0789794921875,1183.1663818359375,internal_evaluation_2020_2021,2020,D+11~D+20
2020-01-01,2019-12-31,1157.8,17,2020-01-28,1167.2,1137.1539306640625,1158.349609375,1180.083984375,1157.8,13785,756,2.3138762333139873,amazon/chronos-2,3.008544921875,1134.1453857421875,1158.349609375,1183.092529296875,internal_evaluation_2020_2021,2020,D+11~D+20
2020-01-01,2019-12-31,1157.8,18,2020-01-29,1176.7,1136.1650390625,1158.1541748046875,1181.2109375,1157.8,13785,756,2.3138762333139873,amazon/chronos-2,3.008544921875,1133.156494140625,1158.1541748046875,1184.219482421875,internal_evaluation_2020_2021,2020,D+11~D+20
2020-01-01,2019-12-31,1157.8,19,2020-01-30,1176.0,1135.3779296875,1158.1494140625,1182.7147216796875,1157.8,13785,756,2.3138762333139873,amazon/chronos-2,3.008544921875,1132.369384765625,1158.1494140625,1185.7232666015625,internal_evaluation_2020_2021,2020,D+11~D+20
2020-01-01,2019-12-31,1157.8,20,2020-01-31,1183.5,1135.048583984375,1158.612548828125,1183.3052978515625,1157.8,13785,756,2.3138762333139873,amazon/chronos-2,3.008544921875,1132.0400390625,1158.612548828125,1186.3138427734375,internal_evaluation_2020_2021,2020,D+11~D+20
2020-02-01,2020-01-31,1183.5,1,2020-02-03,1187.8,1175.20166015625,1182.6734619140625,1189.269775390625,1183.5,13805,756,2.3165582439872496,amazon/chronos-2,3.008544921875,1172.193115234375,1182.6734619140625,1192.2783203125,internal_evaluation_2020_2021,2020,D+1~D+5
2020-02-01,2020-01-31,1183.5,2,2020-02-04,1196.0,1172.897216796875,1182.6446533203125,1191.8577880859375,1183.5,13805,756,2.3165582439872496,amazon/chronos-2,3.008544921875,1169.888671875,1182.6446533203125,1194.8663330078125,internal_evaluation_2020_2021,2020,D+1~D+5
2020-02-01,2020-01-31,1183.5,3,2020-02-05,1189.4,1170.3570556640625,1182.2982177734375,1193.8184814453125,1183.5,13805,756,2.3165582439872496,amazon/chronos-2,3.008544921875,1167.3485107421875,1182.2982177734375,1196.8270263671875,internal_evaluation_2020_2021,2020,D+1~D+5
2020-02-01,2020-01-31,1183.5,4,2020-02-06,1188.5,1170.1654052734375,1182.4044189453125,1195.2283935546875,1183.5,13805,756,2.3165582439872496,amazon/chronos-2,3.008544921875,1167.1568603515625,1182.4044189453125,1198.2369384765625,internal_evaluation_2020_2021,2020,D+1~D+5
2020-02-01,2020-01-31,1183.5,5,2020-02-07,1181.4,1168.696533203125,1182.133056640625,1196.923583984375,1183.5,13805,756,2.3165582439872496,amazon/chronos-2,3.008544921875,1165.68798828125,1182.133056640625,1199.93212890625,internal_evaluation_2020_2021,2020,D+1~D+5
2020-02-01,2020-01-31,1183.5,6,2020-02-10,1187.2,1167.8472900390625,1182.2545166015625,1197.8487548828125,1183.5,13805,756,2.3165582439872496,amazon/chronos-2,3.008544921875,1164.8387451171875,1182.2545166015625,1200.8572998046875,internal_evaluation_2020_2021,2020,D+6~D+10
2020-02-01,2020-01-31,1183.5,7,2020-02-11,1189.8,1166.973876953125,1182.2091064453125,1198.8798828125,1183.5,13805,756,2.3165582439872496,amazon/chronos-2,3.008544921875,1163.96533203125,1182.2091064453125,1201.888427734375,internal_evaluation_2020_2021,2020,D+6~D+10
2020-02-01,2020-01-31,1183.5,8,2020-02-12,1184.1,1166.2073974609375,1182.2515869140625,1200.055908203125,1183.5,13805,756,2.3165582439872496,amazon/chronos-2,3.008544921875,1163.1988525390625,1182.2515869140625,1203.064453125,internal_evaluation_2020_2021,2020,D+6~D+10
2020-02-01,2020-01-31,1183.5,9,2020-02-13,1179.8,1164.8232421875,1182.252197265625,1201.5325927734375,1183.5,13805,756,2.3165582439872496,amazon/chronos-2,3.008544921875,1161.814697265625,1182.252197265625,1204.5411376953125,internal_evaluation_2020_2021,2020,D+6~D+10
2020-02-01,2020-01-31,1183.5,10,2020-02-14,1181.5,1164.18359375,1182.388916015625,1201.833740234375,1183.5,13805,756,2.3165582439872496,amazon/chronos-2,3.008544921875,1161.175048828125,1182.388916015625,1204.84228515625,internal_evaluation_2020_2021,2020,D+6~D+10
2020-02-01,2020-01-31,1183.5,11,2020-02-17,1183.5,1162.623046875,1182.017822265625,1202.797119140625,1183.5,13805,756,2.3165582439872496,amazon/chronos-2,3.008544921875,1159.614501953125,1182.017822265625,1205.8056640625,internal_evaluation_2020_2021,2020,D+11~D+20
2020-02-01,2020-01-31,1183.5,12,2020-02-18,1182.2,1162.3099365234375,1182.1285400390625,1203.51220703125,1183.5,13805,756,2.3165582439872496,amazon/chronos-2,3.008544921875,1159.3013916015625,1182.1285400390625,1206.520751953125,internal_evaluation_2020_2021,2020,D+11~D+20
2020-02-01,2020-01-31,1183.5,13,2020-02-19,1188.1,1160.5931396484375,1181.781494140625,1204.1895751953125,1183.5,13805,756,2.3165582439872496,amazon/chronos-2,3.008544921875,1157.5845947265625,1181.781494140625,1207.1981201171875,internal_evaluation_2020_2021,2020,D+11~D+20
2020-02-01,2020-01-31,1183.5,14,2020-02-20,1190.8,1160.518310546875,1181.673583984375,1203.908447265625,1183.5,13805,756,2.3165582439872496,amazon/chronos-2,3.008544921875,1157.509765625,1181.673583984375,1206.9169921875,internal_evaluation_2020_2021,2020,D+11~D+20
2020-02-01,2020-01-31,1183.5,15,2020-02-21,1197.0,1159.5938720703125,1181.5933837890625,1204.567138671875,1183.5,13805,756,2.3165582439872496,amazon/chronos-2,3.008544921875,1156.5853271484375,1181.5933837890625,1207.57568359375,internal_evaluation_2020_2021,2020,D+11~D+20
2020-02-01,2020-01-31,1183.5,16,2020-02-24,1205.6,1157.951416015625,1181.6456298828125,1205.621826171875,1183.5,13805,756,2.3165582439872496,amazon/chronos-2,3.008544921875,1154.94287109375,1181.6456298828125,1208.63037109375,internal_evaluation_2020_2021,2020,D+11~D+20
2020-02-01,2020-01-31,1183.5,17,2020-02-25,1217.7,1159.8973388671875,1182.0601806640625,1206.1881103515625,1183.5,13805,756,2.3165582439872496,amazon/chronos-2,3.008544921875,1156.8887939453125,1182.0601806640625,1209.1966552734375,internal_evaluation_2020_2021,2020,D+11~D+20
2020-02-01,2020-01-31,1183.5,18,2020-02-26,1212.7,1158.4232177734375,1181.8238525390625,1206.2552490234375,1183.5,13805,756,2.3165582439872496,amazon/chronos-2,3.008544921875,1155.4146728515625,1181.8238525390625,1209.2637939453125,internal_evaluation_2020_2021,2020,D+11~D+20
2020-02-01,2020-01-31,1183.5,19,2020-02-27,1216.8,1157.8583984375,1181.6259765625,1206.3385009765625,1183.5,13805,756,2.3165582439872496,amazon/chronos-2,3.008544921875,1154.849853515625,1181.6259765625,1209.3470458984375,internal_evaluation_2020_2021,2020,D+11~D+20
2020-02-01,2020-01-31,1183.5,20,2020-02-28,1215.9,1157.588623046875,1181.5399169921875,1207.6519775390625,1183.5,13805,756,2.3165582439872496,amazon/chronos-2,3.008544921875,1154.580078125,1181.5399169921875,1210.6605224609375,internal_evaluation_2020_2021,2020,D+11~D+20
2020-03-01,2020-02-28,1215.9,1,2020-03-02,1215.3,1206.3897705078125,1215.384765625,1224.5009765625,1215.9,13825,756,2.3201511863425925,amazon/chronos-2,3.008544921875,1203.3812255859375,1215.384765625,1227.509521484375,internal_evaluation_2020_2021,2020,D+1~D+5
2020-03-01,2020-02-28,1215.9,2,2020-03-03,1200.3,1205.6224365234375,1215.4864501953125,1225.391357421875,1215.9,13825,756,2.3201511863425925,amazon/chronos-2,3.008544921875,1202.6138916015625,1215.4864501953125,1228.39990234375,internal_evaluation_2020_2021,2020,D+1~D+5
2020-03-01,2020-02-28,1215.9,3,2020-03-04,1191.4,1202.8350830078125,1215.220458984375,1226.596923828125,1215.9,13825,756,2.3201511863425925,amazon/chronos-2,3.008544921875,1199.8265380859375,1215.220458984375,1229.60546875,internal_evaluation_2020_2021,2020,D+1~D+5
2020-03-01,2020-02-28,1215.9,4,2020-03-05,1186.4,1202.266357421875,1214.9893798828125,1227.7939453125,1215.9,13825,756,2.3201511863425925,amazon/chronos-2,3.008544921875,1199.2578125,1214.9893798828125,1230.802490234375,internal_evaluation_2020_2021,2020,D+1~D+5
2020-03-01,2020-02-28,1215.9,5,2020-03-06,1185.0,1200.7813720703125,1214.9136962890625,1228.9744873046875,1215.9,13825,756,2.3201511863425925,amazon/chronos-2,3.008544921875,1197.7728271484375,1214.9136962890625,1231.9830322265625,internal_evaluation_2020_2021,2020,D+1~D+5
2020-03-01,2020-02-28,1215.9,6,2020-03-09,1191.4,1199.4041748046875,1214.38427734375,1229.7508544921875,1215.9,13825,756,2.3201511863425925,amazon/chronos-2,3.008544921875,1196.3956298828125,1214.38427734375,1232.7593994140625,internal_evaluation_2020_2021,2020,D+6~D+10
2020-03-01,2020-02-28,1215.9,7,2020-03-10,1201.4,1198.7518310546875,1214.439208984375,1230.7147216796875,1215.9,13825,756,2.3201511863425925,amazon/chronos-2,3.008544921875,1195.7432861328125,1214.439208984375,1233.7232666015625,internal_evaluation_2020_2021,2020,D+6~D+10
2020-03-01,2020-02-28,1215.9,8,2020-03-11,1196.7,1198.072998046875,1214.7811279296875,1232.244873046875,1215.9,13825,756,2.3201511863425925,amazon/chronos-2,3.008544921875,1195.064453125,1214.7811279296875,1235.25341796875,internal_evaluation_2020_2021,2020,D+6~D+10
2020-03-01,2020-02-28,1215.9,9,2020-03-12,1192.8,1197.47021484375,1215.1973876953125,1233.3349609375,1215.9,13825,756,2.3201511863425925,amazon/chronos-2,3.008544921875,1194.461669921875,1215.1973876953125,1236.343505859375,internal_evaluation_2020_2021,2020,D+6~D+10
2020-03-01,2020-02-28,1215.9,10,2020-03-13,1202.0,1196.9954833984375,1215.228271484375,1234.186767578125,1215.9,13825,756,2.3201511863425925,amazon/chronos-2,3.008544921875,1193.9869384765625,1215.228271484375,1237.1953125,internal_evaluation_2020_2021,2020,D+6~D+10
2020-03-01,2020-02-28,1215.9,11,2020-03-16,1222.2,1196.11083984375,1215.4083251953125,1235.3330078125,1215.9,13825,756,2.3201511863425925,amazon/chronos-2,3.008544921875,1193.102294921875,1215.4083251953125,1238.341552734375,internal_evaluation_2020_2021,2020,D+11~D+20
2020-03-01,2020-02-28,1215.9,12,2020-03-17,1219.6,1195.5262451171875,1215.27001953125,1235.7900390625,1215.9,13825,756,2.3201511863425925,amazon/chronos-2,3.008544921875,1192.5177001953125,1215.27001953125,1238.798583984375,internal_evaluation_2020_2021,2020,D+11~D+20
2020-03-01,2020-02-28,1215.9,13,2020-03-18,1241.2,1194.79150390625,1214.84326171875,1236.68798828125,1215.9,13825,756,2.3201511863425925,amazon/chronos-2,3.008544921875,1191.782958984375,1214.84326171875,1239.696533203125,internal_evaluation_2020_2021,2020,D+11~D+20
2020-03-01,2020-02-28,1215.9,14,2020-03-19,1237.8,1193.6131591796875,1215.3460693359375,1236.21484375,1215.9,13825,756,2.3201511863425925,amazon/chronos-2,3.008544921875,1190.6046142578125,1215.3460693359375,1239.223388671875,internal_evaluation_2020_2021,2020,D+11~D+20
2020-03-01,2020-02-28,1215.9,15,2020-03-20,1280.1,1193.6700439453125,1215.45068359375,1237.545166015625,1215.9,13825,756,2.3201511863425925,amazon/chronos-2,3.008544921875,1190.6614990234375,1215.45068359375,1240.5537109375,internal_evaluation_2020_2021,2020,D+11~D+20
2020-03-01,2020-02-28,1215.9,16,2020-03-23,1254.1,1192.2027587890625,1214.6314697265625,1238.6943359375,1215.9,13825,756,2.3201511863425925,amazon/chronos-2,3.008544921875,1189.1942138671875,1214.6314697265625,1241.702880859375,internal_evaluation_2020_2021,2020,D+11~D+20
2020-03-01,2020-02-28,1215.9,17,2020-03-24,1274.6,1191.996826171875,1215.4385986328125,1239.448974609375,1215.9,13825,756,2.3201511863425925,amazon/chronos-2,3.008544921875,1188.98828125,1215.4385986328125,1242.45751953125,internal_evaluation_2020_2021,2020,D+11~D+20
2020-03-01,2020-02-28,1215.9,18,2020-03-25,1256.0,1191.3367919921875,1214.9873046875,1239.97509765625,1215.9,13825,756,2.3201511863425925,amazon/chronos-2,3.008544921875,1188.3282470703125,1214.9873046875,1242.983642578125,internal_evaluation_2020_2021,2020,D+11~D+20
2020-03-01,2020-02-28,1215.9,19,2020-03-26,1230.7,1190.0496826171875,1214.733154296875,1240.9822998046875,1215.9,13825,756,2.3201511863425925,amazon/chronos-2,3.008544921875,1187.0411376953125,1214.733154296875,1243.9908447265625,internal_evaluation_2020_2021,2020,D+11~D+20
2020-03-01,2020-02-28,1215.9,20,2020-03-27,1227.9,1189.2681884765625,1214.663818359375,1241.988525390625,1215.9,13825,756,2.3201511863425925,amazon/chronos-2,3.008544921875,1186.2596435546875,1214.663818359375,1244.9970703125,internal_evaluation_2020_2021,2020,D+11~D+20
2020-04-01,2020-04-01,1220.0,1,2020-04-02,1222.2,1209.258544921875,1219.22509765625,1233.8861083984375,1220.0,13848,756,2.3362800606629595,amazon/chronos-2,3.008544921875,1206.25,1219.22509765625,1236.8946533203125,internal_evaluation_2020_2021,2020,D+1~D+5
2020-04-01,2020-04-01,1220.0,2,2020-04-03,1237.6,1205.90234375,1218.9888916015625,1238.389404296875,1220.0,13848,756,2.3362800606629595,amazon/chronos-2,3.008544921875,1202.893798828125,1218.9888916015625,1241.39794921875,internal_evaluation_2020_2021,2020,D+1~D+5
2020-04-01,2020-04-01,1220.0,3,2020-04-06,1229.8,1203.1090087890625,1219.1553955078125,1242.1290283203125,1220.0,13848,756,2.3362800606629595,amazon/chronos-2,3.008544921875,1200.1004638671875,1219.1553955078125,1245.1375732421875,internal_evaluation_2020_2021,2020,D+1~D+5
2020-04-01,2020-04-01,1220.0,4,2020-04-07,1233.4,1202.9129638671875,1219.44482421875,1245.348876953125,1220.0,13848,756,2.3362800606629595,amazon/chronos-2,3.008544921875,1199.9044189453125,1219.44482421875,1248.357421875,internal_evaluation_2020_2021,2020,D+1~D+5
2020-04-01,2020-04-01,1220.0,5,2020-04-08,1222.4,1200.8319091796875,1219.707275390625,1248.313720703125,1220.0,13848,756,2.3362800606629595,amazon/chronos-2,3.008544921875,1197.8233642578125,1219.707275390625,1251.322265625,internal_evaluation_2020_2021,2020,D+1~D+5
