requested_origin,forecast_origin_date,forecast_origin_value,forecast_step,target_date,actual_value,chronos_q0.1_lower,chronos_q0.5_median,chronos_q0.9_upper,random_walk_forecast,history_rows,context_length,mase_scale_training_only,model_id
1997-01-02,1996-12-31,844.2,1,1997-01-03,844.6,835.0396118164062,841.4168701171875,846.7875366210938,844.2,8081,8081,0.3551076732673267,amazon/chronos-2
1997-01-02,1996-12-31,844.2,2,1997-01-06,842.7,834.81396484375,841.5382080078125,847.201416015625,844.2,8081,8081,0.3551076732673267,amazon/chronos-2
1997-01-02,1996-12-31,844.2,3,1997-01-07,844.7,835.4638671875,842.0794067382812,847.2764892578125,844.2,8081,8081,0.3551076732673267,amazon/chronos-2
1997-01-02,1996-12-31,844.2,4,1997-01-08,844.6,836.515869140625,840.9764404296875,847.5537109375,844.2,8081,8081,0.3551076732673267,amazon/chronos-2
1997-01-02,1996-12-31,844.2,5,1997-01-09,844.8,835.2889404296875,840.9005126953125,847.4251098632812,844.2,8081,8081,0.3551076732673267,amazon/chronos-2
1997-07-01,1997-07-01,887.8,1,1997-07-02,888.1,879.267333984375,885.76904296875,892.2434692382812,887.8,8204,8192,0.3707265634523954,amazon/chronos-2
1997-07-01,1997-07-01,887.8,2,1997-07-03,887.4,878.309814453125,885.8016357421875,892.201171875,887.8,8204,8192,0.3707265634523954,amazon/chronos-2
1997-07-01,1997-07-01,887.8,3,1997-07-04,887.2,878.925537109375,886.0934448242188,891.4785766601562,887.8,8204,8192,0.3707265634523954,amazon/chronos-2
1997-07-01,1997-07-01,887.8,4,1997-07-07,887.1,880.2374267578125,884.445068359375,891.9378662109375,887.8,8204,8192,0.3707265634523954,amazon/chronos-2
1997-07-01,1997-07-01,887.8,5,1997-07-08,887.2,878.5415649414062,884.6456909179688,891.5340576171875,887.8,8204,8192,0.3707265634523954,amazon/chronos-2
1998-01-02,1997-12-31,1415.2,1,1998-01-05,1695.8,1334.4429931640625,1565.916259765625,1825.826416015625,1415.2,8327,8192,0.6872772039394667,amazon/chronos-2
1998-01-02,1997-12-31,1415.2,2,1998-01-06,1716.3,1281.69189453125,1581.2952880859375,1932.624267578125,1415.2,8327,8192,0.6872772039394667,amazon/chronos-2
1998-01-02,1997-12-31,1415.2,3,1998-01-07,1790.0,1205.5810546875,1604.4970703125,2047.373046875,1415.2,8327,8192,0.6872772039394667,amazon/chronos-2
1998-01-02,1997-12-31,1415.2,4,1998-01-08,1761.0,1160.82373046875,1607.0888671875,2167.69482421875,1415.2,8327,8192,0.6872772039394667,amazon/chronos-2
1998-01-02,1997-12-31,1415.2,5,1998-01-09,1785.3,1100.0589599609375,1602.3704833984375,2204.033447265625,1415.2,8327,8192,0.6872772039394667,amazon/chronos-2
