requested_origin,forecast_origin_date,forecast_origin_value,forecast_step,target_date,actual_value,chronos_q0.1_lower,chronos_q0.5_median,chronos_q0.9_upper,random_walk_forecast,target_series,past_covariate,future_covariates_provided,history_rows,context_length,prediction_length
2017-11-01,2017-11-01,1121.2,1,2017-11-02,1116.8,1116.2563,1122.3594,1128.7217,1121.2,USD/KRW,DTWEXBGS broad_usd_index point-in-time as-of,False,756,756,20
2017-11-01,2017-11-01,1121.2,2,2017-11-03,1113.3,1114.207,1122.2676,1131.2638,1121.2,USD/KRW,DTWEXBGS broad_usd_index point-in-time as-of,False,756,756,20
2017-11-01,2017-11-01,1121.2,3,2017-11-06,1112.7,1112.4045,1122.2651,1132.9652,1121.2,USD/KRW,DTWEXBGS broad_usd_index point-in-time as-of,False,756,756,20
2017-11-01,2017-11-01,1121.2,4,2017-11-07,1116.7,1110.8345,1122.2095,1134.0972,1121.2,USD/KRW,DTWEXBGS broad_usd_index point-in-time as-of,False,756,756,20
2017-11-01,2017-11-01,1121.2,5,2017-11-08,1111.6,1109.2528,1122.231,1136.0048,1121.2,USD/KRW,DTWEXBGS broad_usd_index point-in-time as-of,False,756,756,20
2017-11-01,2017-11-01,1121.2,6,2017-11-09,1114.3,1107.9906,1122.0369,1136.5233,1121.2,USD/KRW,DTWEXBGS broad_usd_index point-in-time as-of,False,756,756,20
2017-11-01,2017-11-01,1121.2,7,2017-11-10,1114.3,1106.4448,1121.829,1137.8868,1121.2,USD/KRW,DTWEXBGS broad_usd_index point-in-time as-of,False,756,756,20
2017-11-01,2017-11-01,1121.2,8,2017-11-13,1117.2,1105.7954,1121.8942,1139.2662,1121.2,USD/KRW,DTWEXBGS broad_usd_index point-in-time as-of,False,756,756,20
2017-11-01,2017-11-01,1121.2,9,2017-11-14,1120.7,1104.9513,1121.9075,1139.988,1121.2,USD/KRW,DTWEXBGS broad_usd_index point-in-time as-of,False,756,756,20
2017-11-01,2017-11-01,1121.2,10,2017-11-15,1118.5,1104.5034,1122.1776,1140.7069,1121.2,USD/KRW,DTWEXBGS broad_usd_index point-in-time as-of,False,756,756,20
2017-11-01,2017-11-01,1121.2,11,2017-11-16,1114.4,1103.395,1122.1725,1141.5817,1121.2,USD/KRW,DTWEXBGS broad_usd_index point-in-time as-of,False,756,756,20
2017-11-01,2017-11-01,1121.2,12,2017-11-17,1104.1,1102.6285,1122.2456,1142.664,1121.2,USD/KRW,DTWEXBGS broad_usd_index point-in-time as-of,False,756,756,20
2017-11-01,2017-11-01,1121.2,13,2017-11-20,1096.1,1102.3617,1122.0793,1143.4275,1121.2,USD/KRW,DTWEXBGS broad_usd_index point-in-time as-of,False,756,756,20
2017-11-01,2017-11-01,1121.2,14,2017-11-21,1098.9,1101.2115,1121.737,1144.1333,1121.2,USD/KRW,DTWEXBGS broad_usd_index point-in-time as-of,False,756,756,20
2017-11-01,2017-11-01,1121.2,15,2017-11-22,1097.3,1100.7705,1121.7511,1144.0242,1121.2,USD/KRW,DTWEXBGS broad_usd_index point-in-time as-of,False,756,756,20
2017-11-01,2017-11-01,1121.2,16,2017-11-23,1091.3,1099.9639,1121.794,1145.1326,1121.2,USD/KRW,DTWEXBGS broad_usd_index point-in-time as-of,False,756,756,20
2017-11-01,2017-11-01,1121.2,17,2017-11-24,1088.2,1098.069,1121.2576,1146.2205,1121.2,USD/KRW,DTWEXBGS broad_usd_index point-in-time as-of,False,756,756,20
2017-11-01,2017-11-01,1121.2,18,2017-11-27,1085.0,1096.5204,1121.5214,1147.6985,1121.2,USD/KRW,DTWEXBGS broad_usd_index point-in-time as-of,False,756,756,20
2017-11-01,2017-11-01,1121.2,19,2017-11-28,1087.6,1095.225,1121.689,1148.02,1121.2,USD/KRW,DTWEXBGS broad_usd_index point-in-time as-of,False,756,756,20
2017-11-01,2017-11-01,1121.2,20,2017-11-29,1088.3,1094.8461,1121.4662,1149.4521,1121.2,USD/KRW,DTWEXBGS broad_usd_index point-in-time as-of,False,756,756,20
