requested_origin,forecast_origin_date,forecast_origin_value,forecast_step,target_date,actual_value,predicted_log_return_q0.5,reconstructed_chronos_q0.5,random_walk_forecast,history_log_return_rows,context_length,model_id
2017-11-01,2017-11-01,1121.2,1,2017-11-02,1116.8,0.0002828856,1121.517216193891,1121.2,756,756,amazon/chronos-2
2017-11-01,2017-11-01,1121.2,2,2017-11-03,1113.3,0.00028126984,1121.8327095254508,1121.2,756,756,amazon/chronos-2
2017-11-01,2017-11-01,1121.2,3,2017-11-06,1112.7,0.00020350533,1122.0610316962282,1121.2,756,756,amazon/chronos-2
2017-11-01,2017-11-01,1121.2,4,2017-11-07,1116.7,0.00014814877,1122.2272759728369,1121.2,756,756,amazon/chronos-2
2017-11-01,2017-11-01,1121.2,5,2017-11-08,1111.6,6.869916e-05,1122.3043746951225,1121.2,756,756,amazon/chronos-2
2017-11-01,2017-11-01,1121.2,6,2017-11-09,1114.3,-8.7051885e-06,1122.2946048664878,1121.2,756,756,amazon/chronos-2
2017-11-01,2017-11-01,1121.2,7,2017-11-10,1114.3,-6.3198175e-05,1122.2236801371005,1121.2,756,756,amazon/chronos-2
2017-11-01,2017-11-01,1121.2,8,2017-11-13,1117.2,-0.0001513556,1122.0538381462597,1121.2,756,756,amazon/chronos-2
2017-11-01,2017-11-01,1121.2,9,2017-11-14,1120.7,-0.00023041505,1121.7953298328687,1121.2,756,756,amazon/chronos-2
2017-11-01,2017-11-01,1121.2,10,2017-11-15,1118.5,-0.00022991534,1121.5374415232632,1121.2,756,756,amazon/chronos-2
2017-11-01,2017-11-01,1121.2,11,2017-11-16,1114.4,-0.00027775142,1121.2259761672713,1121.2,756,756,amazon/chronos-2
2017-11-01,2017-11-01,1121.2,12,2017-11-17,1104.1,-0.00029116814,1120.89955841244,1121.2,756,756,amazon/chronos-2
2017-11-01,2017-11-01,1121.2,13,2017-11-20,1096.1,-0.00029242865,1120.5718231866197,1121.2,756,756,amazon/chronos-2
2017-11-01,2017-11-01,1121.2,14,2017-11-21,1098.9,-0.00022302655,1120.32193378286,1121.2,756,756,amazon/chronos-2
2017-11-01,2017-11-01,1121.2,15,2017-11-22,1097.3,-0.00019318261,1120.1055279691855,1121.2,756,756,amazon/chronos-2
2017-11-01,2017-11-01,1121.2,16,2017-11-23,1091.3,-0.00015328967,1119.9338405202868,1121.2,756,756,amazon/chronos-2
2017-11-01,2017-11-01,1121.2,17,2017-11-24,1088.2,0.00013860778,1120.089082820471,1121.2,756,756,amazon/chronos-2
2017-11-01,2017-11-01,1121.2,18,2017-11-27,1085.0,0.00021528066,1120.3302422900354,1121.2,756,756,amazon/chronos-2
2017-11-01,2017-11-01,1121.2,19,2017-11-28,1087.6,0.0002544434,1120.6153392062831,1121.2,756,756,amazon/chronos-2
2017-11-01,2017-11-01,1121.2,20,2017-11-29,1088.3,0.00034596774,1121.0031030346336,1121.2,756,756,amazon/chronos-2
