requested_origin,forecast_origin_date,forecast_origin_value,forecast_step,target_date,actual_value,chronos_q0.1_lower,chronos_q0.5_median,chronos_q0.9_upper,random_walk_forecast,target_series,past_covariate,future_covariates_provided,history_rows,context_start_date,context_length,prediction_length
2017-12-29,2017-12-29,1071.4,1,2018-01-02,1071.4,1067.2402,1073.2793,1079.8176,1071.4,USD/KRW,US 3Y - KR 3Y yield spread point-in-time as-of,False,756,2014-12-09,756,20
2017-12-29,2017-12-29,1071.4,2,2018-01-03,1064.3,1065.8156,1072.7812,1080.1289,1071.4,USD/KRW,US 3Y - KR 3Y yield spread point-in-time as-of,False,756,2014-12-09,756,20
2017-12-29,2017-12-29,1071.4,3,2018-01-04,1065.4,1064.0121,1072.9629,1081.012,1071.4,USD/KRW,US 3Y - KR 3Y yield spread point-in-time as-of,False,756,2014-12-09,756,20
2017-12-29,2017-12-29,1071.4,4,2018-01-05,1065.5,1063.2255,1072.2065,1081.7714,1071.4,USD/KRW,US 3Y - KR 3Y yield spread point-in-time as-of,False,756,2014-12-09,756,20
2017-12-29,2017-12-29,1071.4,5,2018-01-08,1062.1,1061.527,1072.0259,1082.0901,1071.4,USD/KRW,US 3Y - KR 3Y yield spread point-in-time as-of,False,756,2014-12-09,756,20
2017-12-29,2017-12-29,1071.4,6,2018-01-09,1065.2,1060.9375,1071.937,1083.3114,1071.4,USD/KRW,US 3Y - KR 3Y yield spread point-in-time as-of,False,756,2014-12-09,756,20
2017-12-29,2017-12-29,1071.4,7,2018-01-10,1067.1,1059.6643,1071.6809,1083.3126,1071.4,USD/KRW,US 3Y - KR 3Y yield spread point-in-time as-of,False,756,2014-12-09,756,20
2017-12-29,2017-12-29,1071.4,8,2018-01-11,1070.7,1059.2654,1071.8223,1084.1694,1071.4,USD/KRW,US 3Y - KR 3Y yield spread point-in-time as-of,False,756,2014-12-09,756,20
2017-12-29,2017-12-29,1071.4,9,2018-01-12,1071.2,1058.6582,1072.084,1084.947,1071.4,USD/KRW,US 3Y - KR 3Y yield spread point-in-time as-of,False,756,2014-12-09,756,20
2017-12-29,2017-12-29,1071.4,10,2018-01-15,1064.7,1058.1023,1071.8849,1085.44,1071.4,USD/KRW,US 3Y - KR 3Y yield spread point-in-time as-of,False,756,2014-12-09,756,20
2017-12-29,2017-12-29,1071.4,11,2018-01-16,1061.3,1057.4835,1072.1611,1085.702,1071.4,USD/KRW,US 3Y - KR 3Y yield spread point-in-time as-of,False,756,2014-12-09,756,20
2017-12-29,2017-12-29,1071.4,12,2018-01-17,1064.0,1056.5989,1071.8125,1086.2771,1071.4,USD/KRW,US 3Y - KR 3Y yield spread point-in-time as-of,False,756,2014-12-09,756,20
2017-12-29,2017-12-29,1071.4,13,2018-01-18,1065.8,1055.5261,1071.7505,1087.3739,1071.4,USD/KRW,US 3Y - KR 3Y yield spread point-in-time as-of,False,756,2014-12-09,756,20
2017-12-29,2017-12-29,1071.4,14,2018-01-19,1069.4,1054.4436,1071.6401,1086.9731,1071.4,USD/KRW,US 3Y - KR 3Y yield spread point-in-time as-of,False,756,2014-12-09,756,20
2017-12-29,2017-12-29,1071.4,15,2018-01-22,1067.3,1054.1296,1071.1248,1087.876,1071.4,USD/KRW,US 3Y - KR 3Y yield spread point-in-time as-of,False,756,2014-12-09,756,20
2017-12-29,2017-12-29,1071.4,16,2018-01-23,1068.9,1054.0709,1071.23,1088.5249,1071.4,USD/KRW,US 3Y - KR 3Y yield spread point-in-time as-of,False,756,2014-12-09,756,20
2017-12-29,2017-12-29,1071.4,17,2018-01-24,1069.7,1053.0427,1071.1371,1089.3145,1071.4,USD/KRW,US 3Y - KR 3Y yield spread point-in-time as-of,False,756,2014-12-09,756,20
2017-12-29,2017-12-29,1071.4,18,2018-01-25,1070.6,1052.0137,1071.0012,1089.4863,1071.4,USD/KRW,US 3Y - KR 3Y yield spread point-in-time as-of,False,756,2014-12-09,756,20
2017-12-29,2017-12-29,1071.4,19,2018-01-26,1061.7,1050.5597,1071.0801,1090.1432,1071.4,USD/KRW,US 3Y - KR 3Y yield spread point-in-time as-of,False,756,2014-12-09,756,20
2017-12-29,2017-12-29,1071.4,20,2018-01-29,1064.8,1049.9003,1070.2422,1090.5054,1071.4,USD/KRW,US 3Y - KR 3Y yield spread point-in-time as-of,False,756,2014-12-09,756,20
