forecast_step,rows,chronos_mae,random_walk_mae,chronos_rmse,random_walk_rmse,chronos_mase,random_walk_mase,chronos_direction_accuracy,random_walk_direction_accuracy,pinball_q0.1,pinball_q0.5,pinball_q0.9,interval_80_coverage,interval_mean_width,mae_improvement_vs_random_walk_percent,rmse_improvement_vs_random_walk_percent
1,58,7.445848346578675,9.268965517241385,21.91147010884747,38.03365116169698,6.60807833827094,9.724637369883636,0.5344827586206896,0.08620689655172414,1.847606327451508,3.7229241732893374,2.217562803071118,0.896551724137931,27.193157327586206,19.6690468561081,42.389254148404966
2,58,9.69485473632811,12.605172413793094,21.740254070352915,40.959435357772996,7.762010057632024,11.974965136843473,0.6379310344827587,0.0,2.289507530475485,4.847427368164055,2.5457114384092088,0.7413793103448276,33.38391534213362,23.088281396931905,46.922476151207
3,58,11.437264698949358,14.777586206896565,27.89761699362181,50.78773779510983,9.568229489459997,14.3986216574202,0.6206896551724138,0.0,2.892743593413254,5.718632349474679,2.7769287740773185,0.7413793103448276,39.626987851899244,22.603972402396202,45.07017204395354
4,58,12.304110612540406,15.689655172413795,24.63366078359748,47.38047393541803,9.627579057324038,14.481845820460915,0.6379310344827587,0.0,3.1994652057516153,6.152055306270203,2.8860970332704783,0.7413793103448276,44.498381516029106,21.578196095896327,48.00883415143885
5,58,14.492832999393851,17.132758620689643,30.353962527962697,51.15583527573975,11.396845878487543,15.606702127108177,0.5517241379310345,0.0,3.583081054687499,7.246416499696926,3.5266860435748897,0.7241379310344828,49.169785072063576,15.408643054760594,40.66373393309087
6,58,16.573119906721438,19.07241379310345,36.753712403676126,54.174195409584634,13.393406987355753,17.206256734502862,0.4827586206896552,0.0,3.8024740284886853,8.286559953360719,3.8018120075094313,0.7413793103448276,52.45762792126886,13.104234804751105,32.15642221208962
7,58,17.01203592234645,20.249999999999996,31.740160731412537,48.42379188673326,12.38468392327507,16.982271638386667,0.5344827586206896,0.0,4.150595976730871,8.506017961173225,5.122474470467398,0.6724137931034483,54.42667573073815,15.989946062486656,34.453376130363644
8,58,16.785824269261855,20.667241379310333,31.433235785709428,50.27515496641011,12.289160557470138,17.59717116428365,0.6206896551724138,0.0,4.32937039079337,8.392912134630928,4.839011714540682,0.7758620689655172,58.59914634967672,18.780528270861087,37.47759543116151
9,58,15.56498013200432,20.24827586206897,25.350710821560764,44.97172675022107,10.514889874558556,16.75439538153666,0.5344827586206896,0.0,4.202344823376889,7.78249006600216,4.497558993635502,0.7758620689655172,63.05859795932112,23.12935561510129,43.6296698982408
10,58,17.196021560142782,20.82931034482758,28.191397977911656,35.347250295437064,10.772341953046652,15.270336212236172,0.5862068965517241,0.0,4.610358781485719,8.598010780071391,5.580109316069502,0.7241379310344828,65.80549674198545,17.443154499769747,20.24443841519732
11,58,17.5255855165679,21.900000000000006,29.179414270977816,38.74667950178175,10.532274511226275,16.316490176359395,0.5,0.0,5.126060033337824,8.76279275828395,5.84116198309537,0.7241379310344828,69.57329901333513,19.97449535813746,24.69183257461839
12,58,17.94088703023976,22.09827586206896,28.622423071332996,34.815615303560506,10.831827669470819,15.76170377687027,0.5517241379310345,0.0,4.762963804047683,8.97044351511988,6.3813459304283455,0.7068965517241379,70.59054354963631,18.813181887032346,17.788547403883303
13,58,18.71999616951779,23.162068965517246,31.21589280166353,40.540282223470285,11.996867501060008,17.242923515081536,0.5517241379310345,0.0,5.183299665779909,9.359998084758894,6.411116459287446,0.6724137931034483,74.52620512863686,19.1782210933429,23.000307127631487
14,58,20.47089633283944,25.66724137931035,33.429697950476445,48.40574737890476,13.660328357646817,19.88061760405608,0.5517241379310345,0.0,4.898318544585129,10.23544816641972,6.570055878737876,0.6551724137931034,75.87730986496499,20.245046866078642,30.938577006570267
15,58,21.249578646955833,26.42068965517242,34.05723617067429,51.9274726305171,14.220775851838756,20.887323975946313,0.5344827586206896,0.0,5.0098173575565745,10.624789323477916,6.553313409213365,0.6896551724137931,80.44144413389009,19.572202980720572,34.41383829133388
16,58,22.23031721443966,27.34827586206894,35.69183320913858,53.269691194899934,14.94086855339134,21.65254503595219,0.5344827586206896,0.0,5.096420224946122,11.11515860721983,6.948877647662981,0.6551724137931034,82.359592832368,18.714008420281093,32.997859742510144
17,58,21.858948174838364,27.091379310344827,34.27131135064757,48.10307359883744,13.529937508621739,20.75643434068595,0.5862068965517241,0.017241379310344827,5.426331303037446,10.929474087419182,7.143351587755927,0.7241379310344828,85.0354582687904,19.314007882605157,28.754425057204983
18,58,23.166932415140085,25.420689655172406,36.62335131910527,39.48138365321579,15.492983183662645,18.239492452025214,0.5517241379310345,0.0,5.484795700599408,11.583466207570043,7.293390545022898,0.7068965517241379,87.71022612473061,8.86583830180919,7.238936606715732
19,58,23.787490108095387,25.165517241379305,38.87363305921069,39.066971675087245,16.111331808124245,17.7989747117178,0.603448275862069,0.0,5.908809582940466,11.893745054047693,7.9747103987068995,0.7068965517241379,91.29953002929688,5.475854599237277,0.4948902041461446
20,58,25.294732245083512,25.5396551724138,39.24850063812014,39.376548683282245,16.931036928903247,17.94239358233271,0.5172413793103449,0.05172413793103448,5.635424446895199,12.647366122541756,8.501725127121494,0.6379310344827587,93.84536637931035,0.958990736863336,0.32518859433830305
