dataset_role,requested_origin,context_start,forecast_origin_date,target_start,target_end,context_rows,target_rows,total_rows
train,,1964-05-04,2017-12-29,,2017-12-29,13293,0,13293
validation,2018-01-01,1964-05-04,2017-12-29,2018-01-02 00:00:00,2018-01-29,13293,20,13313
validation,2018-02-01,1964-05-04,2018-02-01,2018-02-02 00:00:00,2018-03-06,13316,20,13336
validation,2018-03-01,1964-05-04,2018-02-28,2018-03-02 00:00:00,2018-03-29,13333,20,13353
validation,2018-04-01,1964-05-04,2018-03-30,2018-04-02 00:00:00,2018-04-27,13354,20,13374
validation,2018-05-01,1964-05-04,2018-04-30,2018-05-02 00:00:00,2018-05-31,13375,20,13395
validation,2018-06-01,1964-05-04,2018-06-01,2018-06-04 00:00:00,2018-07-03,13396,20,13416
validation,2018-07-01,1964-05-04,2018-06-29,2018-07-02 00:00:00,2018-07-27,13414,20,13434
validation,2018-08-01,1964-05-04,2018-08-01,2018-08-02 00:00:00,2018-08-30,13437,20,13457
validation,2018-09-01,1964-05-04,2018-08-31,2018-09-03 00:00:00,2018-10-04,13458,20,13478
validation,2018-10-01,1964-05-04,2018-10-01,2018-10-02 00:00:00,2018-10-31,13476,20,13496
validation,2018-11-01,1964-05-04,2018-11-01,2018-11-02 00:00:00,2018-11-29,13497,20,13517
validation,2018-12-01,1964-05-04,2018-11-30,2018-12-03 00:00:00,2018-12-31,13518,20,13538
validation,2019-01-01,1964-05-04,2018-12-31,2019-01-02 00:00:00,2019-01-29,13538,20,13558
validation,2019-02-01,1964-05-04,2019-02-01,2019-02-07 00:00:00,2019-03-07,13561,20,13581
validation,2019-03-01,1964-05-04,2019-02-28,2019-03-04 00:00:00,2019-03-29,13577,20,13597
validation,2019-04-01,1964-05-04,2019-04-01,2019-04-02 00:00:00,2019-04-29,13598,20,13618
validation,2019-05-01,1964-05-04,2019-04-30,2019-05-02 00:00:00,2019-05-30,13619,20,13639
validation,2019-06-01,1964-05-04,2019-05-31,2019-06-03 00:00:00,2019-07-01,13640,20,13660
validation,2019-07-01,1964-05-04,2019-07-01,2019-07-02 00:00:00,2019-07-29,13660,20,13680
validation,2019-08-01,1964-05-04,2019-08-01,2019-08-02 00:00:00,2019-08-30,13683,20,13703
validation,2019-09-01,1964-05-04,2019-08-30,2019-09-02 00:00:00,2019-10-01,13703,20,13723
validation,2019-10-01,1964-05-04,2019-10-01,2019-10-02 00:00:00,2019-10-31,13723,20,13743
validation,2019-11-01,1964-05-04,2019-11-01,2019-11-04 00:00:00,2019-11-29,13744,20,13764
validation,2019-12-01,1964-05-04,2019-11-29,2019-12-02 00:00:00,2019-12-30,13764,20,13784
validation,2020-01-01,1964-05-04,2019-12-31,2020-01-02 00:00:00,2020-01-31,13785,20,13805
validation,2020-02-01,1964-05-04,2020-01-31,2020-02-03 00:00:00,2020-02-28,13805,20,13825
validation,2020-03-01,1964-05-04,2020-02-28,2020-03-02 00:00:00,2020-03-27,13825,20,13845
validation,2020-04-01,1964-05-04,2020-04-01,2020-04-02 00:00:00,2020-05-04,13848,20,13868
validation,2020-05-01,1964-05-04,2020-04-29,2020-05-04 00:00:00,2020-06-01,13867,20,13887
validation,2020-06-01,1964-05-04,2020-06-01,2020-06-02 00:00:00,2020-06-29,13887,20,13907
validation,2020-07-01,1964-05-04,2020-07-01,2020-07-02 00:00:00,2020-07-29,13909,20,13929
validation,2020-08-01,1964-05-04,2020-07-31,2020-08-03 00:00:00,2020-08-31,13931,20,13951
validation,2020-09-01,1964-05-04,2020-09-01,2020-09-02 00:00:00,2020-09-29,13952,20,13972
validation,2020-10-01,1964-05-04,2020-09-29,2020-10-05 00:00:00,2020-11-02,13972,20,13992
validation,2020-11-01,1964-05-04,2020-10-30,2020-11-02 00:00:00,2020-11-27,13991,20,14011
validation,2020-12-01,1964-05-04,2020-12-01,2020-12-02 00:00:00,2020-12-30,14013,20,14033
validation,2021-01-01,1964-05-04,2020-12-31,2021-01-04 00:00:00,2021-01-29,14034,20,14054
validation,2021-02-01,1964-05-04,2021-02-01,2021-02-02 00:00:00,2021-03-04,14055,20,14075
validation,2021-03-01,1964-05-04,2021-02-26,2021-03-02 00:00:00,2021-03-29,14072,20,14092
validation,2021-04-01,1964-05-04,2021-04-01,2021-04-02 00:00:00,2021-04-29,14095,20,14115
validation,2021-05-01,1964-05-04,2021-04-30,2021-05-03 00:00:00,2021-06-01,14116,20,14136
validation,2021-06-01,1964-05-04,2021-06-01,2021-06-02 00:00:00,2021-06-29,14136,20,14156
validation,2021-07-01,1964-05-04,2021-07-01,2021-07-02 00:00:00,2021-07-29,14158,20,14178
validation,2021-08-01,1964-05-04,2021-07-30,2021-08-02 00:00:00,2021-08-30,14179,20,14199
validation,2021-09-01,1964-05-04,2021-09-01,2021-09-02 00:00:00,2021-10-05,14201,20,14221
validation,2021-10-01,1964-05-04,2021-10-01,2021-10-05 00:00:00,2021-11-02,14220,20,14240
validation,2021-11-01,1964-05-04,2021-11-01,2021-11-02 00:00:00,2021-11-29,14239,20,14259
validation,2021-12-01,1964-05-04,2021-12-01,2021-12-02 00:00:00,2021-12-29,14261,20,14281
