date,value,stat_code,item_code,item_name,unit_name,series_code,notes,weekday,exclusion_reason
1964-05-09,255.77,731Y001,1,원/미국달러(매매기준율),원,731Y001,USD/KRW (KRW per USD),Saturday,weekend_observation
1964-05-16,255.77,731Y001,1,원/미국달러(매매기준율),원,731Y001,USD/KRW (KRW per USD),Saturday,weekend_observation
1964-05-23,255.77,731Y001,1,원/미국달러(매매기준율),원,731Y001,USD/KRW (KRW per USD),Saturday,weekend_observation
1964-05-30,255.77,731Y001,1,원/미국달러(매매기준율),원,731Y001,USD/KRW (KRW per USD),Saturday,weekend_observation
1964-06-13,255.77,731Y001,1,원/미국달러(매매기준율),원,731Y001,USD/KRW (KRW per USD),Saturday,weekend_observation
1964-06-20,255.77,731Y001,1,원/미국달러(매매기준율),원,731Y001,USD/KRW (KRW per USD),Saturday,weekend_observation
1964-06-27,255.77,731Y001,1,원/미국달러(매매기준율),원,731Y001,USD/KRW (KRW per USD),Saturday,weekend_observation
1964-07-04,255.77,731Y001,1,원/미국달러(매매기준율),원,731Y001,USD/KRW (KRW per USD),Saturday,weekend_observation
1964-07-11,255.77,731Y001,1,원/미국달러(매매기준율),원,731Y001,USD/KRW (KRW per USD),Saturday,weekend_observation
1964-07-18,255.77,731Y001,1,원/미국달러(매매기준율),원,731Y001,USD/KRW (KRW per USD),Saturday,weekend_observation
1964-07-25,255.77,731Y001,1,원/미국달러(매매기준율),원,731Y001,USD/KRW (KRW per USD),Saturday,weekend_observation
1964-08-01,255.77,731Y001,1,원/미국달러(매매기준율),원,731Y001,USD/KRW (KRW per USD),Saturday,weekend_observation
1964-08-22,255.77,731Y001,1,원/미국달러(매매기준율),원,731Y001,USD/KRW (KRW per USD),Saturday,weekend_observation
1964-08-29,255.77,731Y001,1,원/미국달러(매매기준율),원,731Y001,USD/KRW (KRW per USD),Saturday,weekend_observation
1964-09-05,255.77,731Y001,1,원/미국달러(매매기준율),원,731Y001,USD/KRW (KRW per USD),Saturday,weekend_observation
1964-09-12,255.77,731Y001,1,원/미국달러(매매기준율),원,731Y001,USD/KRW (KRW per USD),Saturday,weekend_observation
1964-09-19,255.77,731Y001,1,원/미국달러(매매기준율),원,731Y001,USD/KRW (KRW per USD),Saturday,weekend_observation
1964-09-26,255.77,731Y001,1,원/미국달러(매매기준율),원,731Y001,USD/KRW (KRW per USD),Saturday,weekend_observation
1964-10-31,255.77,731Y001,1,원/미국달러(매매기준율),원,731Y001,USD/KRW (KRW per USD),Saturday,weekend_observation
1964-11-07,255.77,731Y001,1,원/미국달러(매매기준율),원,731Y001,USD/KRW (KRW per USD),Saturday,weekend_observation
1964-11-14,255.77,731Y001,1,원/미국달러(매매기준율),원,731Y001,USD/KRW (KRW per USD),Saturday,weekend_observation
1964-11-21,255.77,731Y001,1,원/미국달러(매매기준율),원,731Y001,USD/KRW (KRW per USD),Saturday,weekend_observation
1964-11-28,255.77,731Y001,1,원/미국달러(매매기준율),원,731Y001,USD/KRW (KRW per USD),Saturday,weekend_observation
