STAT_CODE,STAT_NAME,CYCLE,SRCH_YN,ORG_NAME,priority_score
731Y001,3.1.1.1. 주요국 통화의 대원화환율,D,Y,서울외국환중개,190
731Y002,3.1.1.2. 주요국 통화의 대미달러환율,D,Y,서울외국환중개,120
731Y003,"3.1.1.3. 원화의 대미달러, 원화의 대위안/대엔 환율",D,Y,한국은행,105
731Y004,3.1.2.1. 주요국 통화의 대원화환율,M,Y,한국은행,90
731Y005,3.1.2.2. 주요국 통화의 대미달러환율,M,Y,한국은행,20
0000000176,3. 환율/통관수출입/외환보유액,,N,,5
0000000177,3.1. 환율,,N,,5
0000000178,3.1.1. 일일환율,,N,,5
0000000182,3.1.2. 평균환율/기말환율,,N,,5
731Y006,"3.1.2.3. 원화의 대미달러, 원화의 대위안/대엔 환율",M,Y,한국은행,5
0000000704,9.2.3. 북한의 시장물가와 환율,,N,,5
252Y002,9.2.3.2. 시장환율,Q,Y,한국은행,5
