requested_origin,forecast_origin_date,forecast_origin_value,forecast_step,target_date,actual_value,chronos_q0.1_lower,chronos_q0.5_median,chronos_q0.9_upper,random_walk_forecast,history_rows,context_length,mase_scale_training_only,model_id
1997-11-03,1997-11-03,964.6,1,1997-11-04,967.2,947.662109375,964.014892578125,981.0736083984375,964.6,8287,8192,0.38154356746319085,amazon/chronos-2
1997-11-03,1997-11-03,964.6,2,1997-11-05,965.9,948.6749267578125,964.5738525390625,981.353271484375,964.6,8287,8192,0.38154356746319085,amazon/chronos-2
1997-11-03,1997-11-03,964.6,3,1997-11-06,968.6,947.9801635742188,965.7234497070312,981.25537109375,964.6,8287,8192,0.38154356746319085,amazon/chronos-2
1997-11-03,1997-11-03,964.6,4,1997-11-07,974.8,948.311767578125,963.523681640625,982.4354858398438,964.6,8287,8192,0.38154356746319085,amazon/chronos-2
1997-11-03,1997-11-03,964.6,5,1997-11-10,979.4,947.0760498046875,964.509521484375,983.33349609375,964.6,8287,8192,0.38154356746319085,amazon/chronos-2
1997-11-03,1997-11-03,964.6,6,1997-11-11,997.8,945.6478271484375,963.6883544921875,984.759765625,964.6,8287,8192,0.38154356746319085,amazon/chronos-2
1997-11-03,1997-11-03,964.6,7,1997-11-12,989.9,946.4755859375,963.9802856445312,983.8070678710938,964.6,8287,8192,0.38154356746319085,amazon/chronos-2
1997-11-03,1997-11-03,964.6,8,1997-11-13,988.3,945.5306396484375,965.3204345703125,985.3328857421875,964.6,8287,8192,0.38154356746319085,amazon/chronos-2
1997-11-03,1997-11-03,964.6,9,1997-11-14,987.4,946.049560546875,966.4432373046875,985.7052001953125,964.6,8287,8192,0.38154356746319085,amazon/chronos-2
1997-11-03,1997-11-03,964.6,10,1997-11-17,986.5,946.2623901367188,966.189208984375,987.1845703125,964.6,8287,8192,0.38154356746319085,amazon/chronos-2
1997-11-03,1997-11-03,964.6,11,1997-11-18,990.6,944.298828125,965.2406005859375,987.3997192382812,964.6,8287,8192,0.38154356746319085,amazon/chronos-2
1997-11-03,1997-11-03,964.6,12,1997-11-19,1012.8,942.6143798828125,964.6657104492188,985.153076171875,964.6,8287,8192,0.38154356746319085,amazon/chronos-2
1997-11-03,1997-11-03,964.6,13,1997-11-20,1035.5,941.1075439453125,961.771728515625,985.5076904296875,964.6,8287,8192,0.38154356746319085,amazon/chronos-2
1997-11-03,1997-11-03,964.6,14,1997-11-21,1139.0,942.5416259765625,963.236572265625,983.47900390625,964.6,8287,8192,0.38154356746319085,amazon/chronos-2
1997-11-03,1997-11-03,964.6,15,1997-11-24,1076.4,943.13427734375,965.8534545898438,987.2047119140625,964.6,8287,8192,0.38154356746319085,amazon/chronos-2
1997-11-03,1997-11-03,964.6,16,1997-11-25,1100.5,942.128173828125,964.15771484375,988.2069091796875,964.6,8287,8192,0.38154356746319085,amazon/chronos-2
1997-11-03,1997-11-03,964.6,17,1997-11-26,1117.5,939.7257080078125,962.502685546875,994.29931640625,964.6,8287,8192,0.38154356746319085,amazon/chronos-2
1997-11-03,1997-11-03,964.6,18,1997-11-27,1113.8,940.2783813476562,962.3895263671875,993.328125,964.6,8287,8192,0.38154356746319085,amazon/chronos-2
1997-11-03,1997-11-03,964.6,19,1997-11-28,1112.3,939.3082275390625,963.0911865234375,992.593994140625,964.6,8287,8192,0.38154356746319085,amazon/chronos-2
1997-11-03,1997-11-03,964.6,20,1997-12-01,1163.8,940.70703125,961.35400390625,994.0923461914062,964.6,8287,8192,0.38154356746319085,amazon/chronos-2
2008-09-01,2008-09-01,1087.0,1,2008-09-02,1108.1,1075.5076904296875,1085.947265625,1093.242431640625,1087.0,10971,8192,1.5840173199635368,amazon/chronos-2
2008-09-01,2008-09-01,1087.0,2,2008-09-03,1117.7,1074.5152587890625,1086.4814453125,1097.1988525390625,1087.0,10971,8192,1.5840173199635368,amazon/chronos-2
2008-09-01,2008-09-01,1087.0,3,2008-09-04,1151.6,1070.9349365234375,1086.7781982421875,1101.558349609375,1087.0,10971,8192,1.5840173199635368,amazon/chronos-2
2008-09-01,2008-09-01,1087.0,4,2008-09-05,1135.7,1069.559814453125,1087.291748046875,1103.6632080078125,1087.0,10971,8192,1.5840173199635368,amazon/chronos-2
2008-09-01,2008-09-01,1087.0,5,2008-09-08,1126.5,1067.6640625,1087.120361328125,1106.673583984375,1087.0,10971,8192,1.5840173199635368,amazon/chronos-2
2008-09-01,2008-09-01,1087.0,6,2008-09-09,1092.6,1067.238037109375,1088.6212158203125,1110.1962890625,1087.0,10971,8192,1.5840173199635368,amazon/chronos-2
2008-09-01,2008-09-01,1087.0,7,2008-09-10,1101.0,1065.55029296875,1088.69384765625,1111.8597412109375,1087.0,10971,8192,1.5840173199635368,amazon/chronos-2
2008-09-01,2008-09-01,1087.0,8,2008-09-11,1089.7,1063.79248046875,1088.6317138671875,1113.795166015625,1087.0,10971,8192,1.5840173199635368,amazon/chronos-2
2008-09-01,2008-09-01,1087.0,9,2008-09-12,1106.0,1062.167724609375,1088.578369140625,1115.6361083984375,1087.0,10971,8192,1.5840173199635368,amazon/chronos-2
2008-09-01,2008-09-01,1087.0,10,2008-09-16,1108.7,1061.02587890625,1089.5606689453125,1118.2987060546875,1087.0,10971,8192,1.5840173199635368,amazon/chronos-2
2008-09-01,2008-09-01,1087.0,11,2008-09-17,1150.7,1059.29541015625,1088.352783203125,1119.1339111328125,1087.0,10971,8192,1.5840173199635368,amazon/chronos-2
2008-09-01,2008-09-01,1087.0,12,2008-09-18,1134.2,1058.3980712890625,1088.8939208984375,1119.0098876953125,1087.0,10971,8192,1.5840173199635368,amazon/chronos-2
2008-09-01,2008-09-01,1087.0,13,2008-09-19,1146.7,1056.2349853515625,1087.6937255859375,1118.659423828125,1087.0,10971,8192,1.5840173199635368,amazon/chronos-2
2008-09-01,2008-09-01,1087.0,14,2008-09-22,1135.5,1054.6484375,1089.133056640625,1120.443115234375,1087.0,10971,8192,1.5840173199635368,amazon/chronos-2
2008-09-01,2008-09-01,1087.0,15,2008-09-23,1135.6,1056.471435546875,1090.0115966796875,1124.8878173828125,1087.0,10971,8192,1.5840173199635368,amazon/chronos-2
2008-09-01,2008-09-01,1087.0,16,2008-09-24,1150.6,1057.0440673828125,1090.5089111328125,1125.5889892578125,1087.0,10971,8192,1.5840173199635368,amazon/chronos-2
2008-09-01,2008-09-01,1087.0,17,2008-09-25,1153.9,1056.022705078125,1090.1630859375,1129.8812255859375,1087.0,10971,8192,1.5840173199635368,amazon/chronos-2
2008-09-01,2008-09-01,1087.0,18,2008-09-26,1161.4,1051.965087890625,1089.58935546875,1131.8929443359375,1087.0,10971,8192,1.5840173199635368,amazon/chronos-2
2008-09-01,2008-09-01,1087.0,19,2008-09-29,1157.5,1051.343017578125,1090.337158203125,1135.064453125,1087.0,10971,8192,1.5840173199635368,amazon/chronos-2
2008-09-01,2008-09-01,1087.0,20,2008-09-30,1187.7,1053.156494140625,1091.119873046875,1137.110595703125,1087.0,10971,8192,1.5840173199635368,amazon/chronos-2
2020-03-02,2020-03-02,1215.3,1,2020-03-03,1200.3,1203.4947509765625,1213.6407470703125,1222.0159912109375,1215.3,13826,8192,2.3200267631103073,amazon/chronos-2
2020-03-02,2020-03-02,1215.3,2,2020-03-04,1191.4,1203.16748046875,1213.6048583984375,1223.5941162109375,1215.3,13826,8192,2.3200267631103073,amazon/chronos-2
2020-03-02,2020-03-02,1215.3,3,2020-03-05,1186.4,1200.2525634765625,1213.4122314453125,1225.461669921875,1215.3,13826,8192,2.3200267631103073,amazon/chronos-2
2020-03-02,2020-03-02,1215.3,4,2020-03-06,1185.0,1198.2821044921875,1213.0704345703125,1226.137939453125,1215.3,13826,8192,2.3200267631103073,amazon/chronos-2
2020-03-02,2020-03-02,1215.3,5,2020-03-09,1191.4,1197.1324462890625,1212.4410400390625,1227.7193603515625,1215.3,13826,8192,2.3200267631103073,amazon/chronos-2
2020-03-02,2020-03-02,1215.3,6,2020-03-10,1201.4,1196.074462890625,1213.03564453125,1229.2318115234375,1215.3,13826,8192,2.3200267631103073,amazon/chronos-2
2020-03-02,2020-03-02,1215.3,7,2020-03-11,1196.7,1195.2320556640625,1213.0452880859375,1230.7730712890625,1215.3,13826,8192,2.3200267631103073,amazon/chronos-2
2020-03-02,2020-03-02,1215.3,8,2020-03-12,1192.8,1193.39306640625,1212.4625244140625,1231.625244140625,1215.3,13826,8192,2.3200267631103073,amazon/chronos-2
2020-03-02,2020-03-02,1215.3,9,2020-03-13,1202.0,1192.7100830078125,1212.03173828125,1232.3836669921875,1215.3,13826,8192,2.3200267631103073,amazon/chronos-2
2020-03-02,2020-03-02,1215.3,10,2020-03-16,1222.2,1191.4097900390625,1212.58349609375,1233.9744873046875,1215.3,13826,8192,2.3200267631103073,amazon/chronos-2
2020-03-02,2020-03-02,1215.3,11,2020-03-17,1219.6,1190.5272216796875,1211.30810546875,1234.320556640625,1215.3,13826,8192,2.3200267631103073,amazon/chronos-2
2020-03-02,2020-03-02,1215.3,12,2020-03-18,1241.2,1188.9346923828125,1211.5308837890625,1233.7952880859375,1215.3,13826,8192,2.3200267631103073,amazon/chronos-2
2020-03-02,2020-03-02,1215.3,13,2020-03-19,1237.8,1186.673828125,1210.38623046875,1233.4093017578125,1215.3,13826,8192,2.3200267631103073,amazon/chronos-2
2020-03-02,2020-03-02,1215.3,14,2020-03-20,1280.1,1185.6868896484375,1211.0224609375,1234.1331787109375,1215.3,13826,8192,2.3200267631103073,amazon/chronos-2
2020-03-02,2020-03-02,1215.3,15,2020-03-23,1254.1,1186.027587890625,1211.1524658203125,1237.1785888671875,1215.3,13826,8192,2.3200267631103073,amazon/chronos-2
2020-03-02,2020-03-02,1215.3,16,2020-03-24,1274.6,1186.0994873046875,1211.2926025390625,1237.03369140625,1215.3,13826,8192,2.3200267631103073,amazon/chronos-2
2020-03-02,2020-03-02,1215.3,17,2020-03-25,1256.0,1185.6614990234375,1210.90869140625,1238.8155517578125,1215.3,13826,8192,2.3200267631103073,amazon/chronos-2
2020-03-02,2020-03-02,1215.3,18,2020-03-26,1230.7,1183.2864990234375,1210.325439453125,1239.9876708984375,1215.3,13826,8192,2.3200267631103073,amazon/chronos-2
