forecast_step,rows,chronos_mae,random_walk_mae,chronos_rmse,random_walk_rmse,chronos_mase,random_walk_mase,chronos_direction_accuracy,random_walk_direction_accuracy,pinball_q0.1,pinball_q0.5,pinball_q0.9,interval_80_coverage,interval_mean_width,mae_improvement_vs_random_walk_percent,rmse_improvement_vs_random_walk_percent
1,5,9.9302490234375,9.639999999999986,12.163765065525174,12.057362895757906,6.507575230287273,6.096680668257319,0.4,0.0,2.3478300781250074,4.96512451171875,3.7134565429687356,0.6,24.508227539062524,-3.0108819858663356,-0.8824663459760588
2,5,14.304262695312492,14.199999999999955,18.04442055875327,18.21559771185122,7.9233940431197585,7.859445481969568,0.4,0.0,4.227090332031234,7.152131347656246,4.877062500000009,0.6,26.50427246093752,-0.7342443331868808,0.9397284448513109
3,5,24.655637207031237,24.979999999999972,33.356759257316945,33.57787962334723,14.385483905661616,15.017293236456629,0.4,0.0,5.728582763671859,12.327818603515619,11.93065673828124,0.4,30.15933837890625,1.2984899638460181,0.6585298670155927
4,5,24.42452636718749,23.99999999999998,28.34476435339749,28.496385735738496,17.270457371219262,16.649867102229642,0.4,0.0,5.568326660156249,12.212263183593745,8.436891845703126,0.4,32.53900146484375,-1.7688598632812966,0.5320723257576166
5,5,24.75150878906245,24.919999999999938,28.143046092162244,28.30187272955623,18.597696818209304,18.646841855552594,0.4,0.0,4.5579477539062285,12.375754394531224,8.429913574218741,0.4,36.04760742187498,0.6761284548053356,0.5611877309734349
6,5,18.284140624999942,18.37999999999995,23.315072823420312,22.976640311411934,22.843429240762447,22.564429813796043,0.4,0.0,3.271022949218748,9.142070312499971,6.29088623046875,0.6,39.485791015624976,0.5215417573449794,-1.4729416808613522
7,5,17.867487792968745,18.41999999999998,20.15934052904571,20.417590455291226,19.429017819642038,19.464622813371598,0.6,0.0,3.0976723632812515,8.933743896484373,3.6173288574218603,0.6,40.57362060546875,2.999523382362842,1.2648403679709892
8,5,18.88880859375006,20.00000000000002,25.06152038027663,25.56184656866561,18.09115269017249,18.945988134802494,0.8,0.0,3.4094013671875087,9.44440429687503,6.164729492187478,0.4,44.207275390625,5.555957031249801,1.9573162957729944
9,5,19.483623046874982,21.55999999999999,25.198073720278295,26.387497039317726,18.13660744432426,19.877332734804654,1.0,0.0,3.8165361328125007,9.741811523437491,5.747497070312525,0.6,45.29189453124998,9.630690877203202,4.507526110821251
10,5,20.220048828125027,21.24000000000003,25.379935590657244,26.27729057570439,18.216417848720496,19.42982598669531,0.8,0.0,4.387460205078128,10.110024414062513,4.465675781250006,0.8,48.42188720703125,4.8020299994114986,3.4149448645090885
11,5,29.066948242187436,29.439999999999962,36.33694436366123,36.998432399224704,25.973143698201532,26.440980621542877,0.8,0.0,5.341606933593746,14.533474121093718,9.748430908203124,0.4,50.30582275390625,1.267159503439288,1.787881249740013
12,5,33.954489746093756,34.360000000000014,37.83811718418038,37.94770085262084,37.3885260280193,37.63998204081779,0.8,0.0,5.975298828125004,16.977244873046878,12.094725585937491,0.2,51.15004882812502,1.180181181333694,0.28877551466438595
13,5,44.14898437499996,42.85999999999997,49.51161429770622,48.188567108807035,53.462944517073936,51.685607475737946,0.4,0.0,7.02446875,22.07449218749998,18.399786621093718,0.2,53.83747558593755,-3.0074297130191137,-2.745562419218269
14,5,72.35333496093749,72.38,91.48053600709024,90.60987804869842,109.7929823088784,109.26353870718386,0.4,0.0,9.98016748046875,36.176667480468744,45.394268554687486,0.2,53.357104492187524,0.03684034134085022,-0.9608863593480178
15,5,53.47119384765624,54.879999999999995,63.222295154316264,64.0548827178694,73.0700852595248,74.30113637584462,0.8,0.0,8.2124404296875,26.73559692382812,26.64212255859377,0.2,57.46384277343748,2.5670666041249226,1.2998034314109723
16,5,70.55958496093749,71.28,81.61869789300279,81.67792847520069,92.23316740763696,92.45923812189855,0.6,0.0,9.84058984375,35.27979248046874,40.617259277343706,0.2,58.112963867187524,1.0106832759013973,0.07251724340178634
17,5,71.78015136718754,72.02000000000005,85.67289389272163,85.50692369627156,101.0389699685431,100.32758129853411,0.6,0.0,10.022214355468758,35.89007568359377,37.26446289062502,0.2,62.89504394531252,0.33303059263053325,-0.1941014707061815
18,5,68.08956542968751,67.14000000000007,85.4211225316817,85.34074056392997,98.23471969391201,96.97432980564378,0.4,0.0,9.434852294921875,34.044782714843755,36.77996337890626,0.4,64.65782470703125,-1.4143065678990738,-0.09418944248734122
19,5,69.66172851562499,68.82000000000005,84.25199203743081,84.31767311779898,97.61856355112957,96.74630726271825,0.4,0.0,9.076119628906252,34.83086425781249,35.476949218749986,0.4,67.65979003906253,-1.223087061355617,0.07789716905067226
20,5,84.18096191406248,84.35999999999997,108.47730351660894,108.09490274753936,128.32051541563283,127.1516478436198,0.6,0.0,10.804132812499985,42.09048095703124,49.175758544921855,0.2,67.78062744140625,0.21223101699560468,-0.3537639235058948
