requested_origin,forecast_origin_date,forecast_origin_value,forecast_step,target_date,actual_value,chronos_q0.1_lower,chronos_q0.5_median,chronos_q0.9_upper,random_walk_forecast,history_rows,context_length,mase_scale_training_only,model_id,alpha,ensemble_forecast,interval_correction,corrected_q0.1_lower,corrected_q0.5_median,corrected_q0.9_upper,evaluation_role
2026-01-01,2025-12-31,1434.9,1,2026-01-02,1434.9,1425.322265625,1437.7120361328125,1448.9168701171875,1434.9,15264,756,2.5543844591495772,amazon/chronos-2,0.5,1436.3060180664063,3.008544921875,1422.313720703125,1437.7120361328125,1451.9254150390625,out_of_calibration_2026_small_sample
2026-01-01,2025-12-31,1434.9,2,2026-01-05,1442.1,1421.056396484375,1438.0792236328125,1454.0076904296875,1434.9,15264,756,2.5543844591495772,amazon/chronos-2,0.5,1436.4896118164063,3.008544921875,1418.0478515625,1438.0792236328125,1457.0162353515625,out_of_calibration_2026_small_sample
2026-01-01,2025-12-31,1434.9,3,2026-01-06,1446.8,1418.9619140625,1438.9986572265625,1458.4495849609375,1434.9,15264,756,2.5543844591495772,amazon/chronos-2,0.5,1436.9493286132813,3.008544921875,1415.953369140625,1438.9986572265625,1461.4581298828125,out_of_calibration_2026_small_sample
2026-01-01,2025-12-31,1434.9,4,2026-01-07,1445.7,1418.1866455078125,1439.2354736328125,1461.0177001953125,1434.9,15264,756,2.5543844591495772,amazon/chronos-2,0.5,1437.0677368164063,3.008544921875,1415.1781005859375,1439.2354736328125,1464.0262451171875,out_of_calibration_2026_small_sample
2026-01-01,2025-12-31,1434.9,5,2026-01-08,1448.3,1415.127685546875,1439.3961181640625,1463.6251220703125,1434.9,15264,756,2.5543844591495772,amazon/chronos-2,0.5,1437.1480590820313,3.008544921875,1412.119140625,1439.3961181640625,1466.6336669921875,out_of_calibration_2026_small_sample
2026-01-01,2025-12-31,1434.9,6,2026-01-09,1449.4,1414.4647216796875,1439.618896484375,1465.192626953125,1434.9,15264,756,2.5543844591495772,amazon/chronos-2,0.5,1437.2594482421875,3.008544921875,1411.4561767578125,1439.618896484375,1468.201171875,out_of_calibration_2026_small_sample
2026-01-01,2025-12-31,1434.9,7,2026-01-12,1455.7,1411.625732421875,1439.934814453125,1466.7308349609375,1434.9,15264,756,2.5543844591495772,amazon/chronos-2,0.5,1437.4174072265623,3.008544921875,1408.6171875,1439.934814453125,1469.7393798828125,out_of_calibration_2026_small_sample
2026-01-01,2025-12-31,1434.9,8,2026-01-13,1464.1,1409.671142578125,1440.6712646484375,1469.4295654296875,1434.9,15264,756,2.5543844591495772,amazon/chronos-2,0.5,1437.7856323242188,3.008544921875,1406.66259765625,1440.6712646484375,1472.4381103515625,out_of_calibration_2026_small_sample
2026-01-01,2025-12-31,1434.9,9,2026-01-14,1472.8,1408.1976318359375,1440.6048583984375,1471.2918701171875,1434.9,15264,756,2.5543844591495772,amazon/chronos-2,0.5,1437.7524291992188,3.008544921875,1405.1890869140625,1440.6048583984375,1474.3004150390625,out_of_calibration_2026_small_sample
2026-01-01,2025-12-31,1434.9,10,2026-01-15,1477.5,1407.0247802734375,1440.6160888671875,1471.9490966796875,1434.9,15264,756,2.5543844591495772,amazon/chronos-2,0.5,1437.7580444335938,3.008544921875,1404.0162353515625,1440.6160888671875,1474.9576416015625,out_of_calibration_2026_small_sample
2026-01-01,2025-12-31,1434.9,11,2026-01-16,1469.7,1405.7042236328125,1440.7908935546875,1473.3480224609375,1434.9,15264,756,2.5543844591495772,amazon/chronos-2,0.5,1437.8454467773438,3.008544921875,1402.6956787109375,1440.7908935546875,1476.3565673828125,out_of_calibration_2026_small_sample
2026-01-01,2025-12-31,1434.9,12,2026-01-19,1473.5,1403.7774658203125,1440.90234375,1474.587890625,1434.9,15264,756,2.5543844591495772,amazon/chronos-2,0.5,1437.901171875,3.008544921875,1400.7689208984375,1440.90234375,1477.596435546875,out_of_calibration_2026_small_sample
2026-01-01,2025-12-31,1434.9,13,2026-01-20,1473.6,1402.3509521484375,1440.9810791015625,1475.5921630859375,1434.9,15264,756,2.5543844591495772,amazon/chronos-2,0.5,1437.9405395507813,3.008544921875,1399.3424072265625,1440.9810791015625,1478.6007080078125,out_of_calibration_2026_small_sample
2026-01-01,2025-12-31,1434.9,14,2026-01-21,1477.0,1402.4442138671875,1440.5487060546875,1475.5733642578125,1434.9,15264,756,2.5543844591495772,amazon/chronos-2,0.5,1437.7243530273438,3.008544921875,1399.4356689453125,1440.5487060546875,1478.5819091796875,out_of_calibration_2026_small_sample
2026-01-01,2025-12-31,1434.9,15,2026-01-22,1472.8,1400.916259765625,1441.5531005859375,1477.689453125,1434.9,15264,756,2.5543844591495772,amazon/chronos-2,0.5,1438.2265502929688,3.008544921875,1397.90771484375,1441.5531005859375,1480.697998046875,out_of_calibration_2026_small_sample
2026-01-01,2025-12-31,1434.9,16,2026-01-23,1468.4,1400.0452880859375,1442.421142578125,1479.2236328125,1434.9,15264,756,2.5543844591495772,amazon/chronos-2,0.5,1438.6605712890623,3.008544921875,1397.0367431640625,1442.421142578125,1482.232177734375,out_of_calibration_2026_small_sample
2026-01-01,2025-12-31,1434.9,17,2026-01-26,1467.2,1401.7242431640625,1442.1402587890625,1480.1455078125,1434.9,15264,756,2.5543844591495772,amazon/chronos-2,0.5,1438.5201293945313,3.008544921875,1398.7156982421875,1442.1402587890625,1483.154052734375,out_of_calibration_2026_small_sample
2026-01-01,2025-12-31,1434.9,18,2026-01-27,1442.8,1398.95166015625,1441.97509765625,1481.729736328125,1434.9,15264,756,2.5543844591495772,amazon/chronos-2,0.5,1438.437548828125,3.008544921875,1395.943115234375,1441.97509765625,1484.73828125,out_of_calibration_2026_small_sample
2026-01-01,2025-12-31,1434.9,19,2026-01-28,1448.8,1398.0780029296875,1442.1839599609375,1482.043701171875,1434.9,15264,756,2.5543844591495772,amazon/chronos-2,0.5,1438.5419799804688,3.008544921875,1395.0694580078125,1442.1839599609375,1485.05224609375,out_of_calibration_2026_small_sample
2026-01-01,2025-12-31,1434.9,20,2026-01-29,1428.6,1397.696044921875,1441.9398193359375,1484.4691162109375,1434.9,15264,756,2.5543844591495772,amazon/chronos-2,0.5,1438.4199096679688,3.008544921875,1394.6875,1441.9398193359375,1487.4776611328125,out_of_calibration_2026_small_sample
2026-02-01,2026-01-30,1427.0,1,2026-02-02,1436.7,1418.1988525390625,1428.6519775390625,1439.2962646484375,1427.0,15285,756,2.55885043182413,amazon/chronos-2,0.5,1427.8259887695312,3.008544921875,1415.1903076171875,1428.6519775390625,1442.3048095703125,out_of_calibration_2026_small_sample
2026-02-01,2026-01-30,1427.0,2,2026-02-03,1457.3,1413.8905029296875,1429.8563232421875,1445.673095703125,1427.0,15285,756,2.55885043182413,amazon/chronos-2,0.5,1428.4281616210938,3.008544921875,1410.8819580078125,1429.8563232421875,1448.681640625,out_of_calibration_2026_small_sample
2026-02-01,2026-01-30,1427.0,3,2026-02-04,1449.0,1410.643798828125,1430.3525390625,1449.6917724609375,1427.0,15285,756,2.55885043182413,amazon/chronos-2,0.5,1428.67626953125,3.008544921875,1407.63525390625,1430.3525390625,1452.7003173828125,out_of_calibration_2026_small_sample
2026-02-01,2026-01-30,1427.0,4,2026-02-05,1451.2,1408.1773681640625,1431.0693359375,1453.91259765625,1427.0,15285,756,2.55885043182413,amazon/chronos-2,0.5,1429.03466796875,3.008544921875,1405.1688232421875,1431.0693359375,1456.921142578125,out_of_calibration_2026_small_sample
2026-02-01,2026-01-30,1427.0,5,2026-02-06,1464.1,1406.146240234375,1431.7603759765625,1457.77783203125,1427.0,15285,756,2.55885043182413,amazon/chronos-2,0.5,1429.3801879882812,3.008544921875,1403.1376953125,1431.7603759765625,1460.786376953125,out_of_calibration_2026_small_sample
2026-02-01,2026-01-30,1427.0,6,2026-02-09,1470.3,1404.2359619140625,1432.071533203125,1459.438232421875,1427.0,15285,756,2.55885043182413,amazon/chronos-2,0.5,1429.5357666015625,3.008544921875,1401.2274169921875,1432.071533203125,1462.44677734375,out_of_calibration_2026_small_sample
2026-02-01,2026-01-30,1427.0,7,2026-02-10,1464.3,1401.1458740234375,1432.4569091796875,1461.2890625,1427.0,15285,756,2.55885043182413,amazon/chronos-2,0.5,1429.7284545898438,3.008544921875,1398.1373291015625,1432.4569091796875,1464.297607421875,out_of_calibration_2026_small_sample
2026-02-01,2026-01-30,1427.0,8,2026-02-11,1457.7,1399.2236328125,1433.66259765625,1464.688720703125,1427.0,15285,756,2.55885043182413,amazon/chronos-2,0.5,1430.331298828125,3.008544921875,1396.215087890625,1433.66259765625,1467.697265625,out_of_calibration_2026_small_sample
2026-02-01,2026-01-30,1427.0,9,2026-02-12,1454.4,1398.1129150390625,1433.6927490234375,1467.2769775390625,1427.0,15285,756,2.55885043182413,amazon/chronos-2,0.5,1430.3463745117188,3.008544921875,1395.1043701171875,1433.6927490234375,1470.2855224609375,out_of_calibration_2026_small_sample
2026-02-01,2026-01-30,1427.0,10,2026-02-13,1443.4,1396.1800537109375,1433.90966796875,1467.7369384765625,1427.0,15285,756,2.55885043182413,amazon/chronos-2,0.5,1430.454833984375,3.008544921875,1393.1715087890625,1433.90966796875,1470.7454833984375,out_of_calibration_2026_small_sample
2026-02-01,2026-01-30,1427.0,11,2026-02-19,1443.1,1394.5164794921875,1433.892822265625,1469.7425537109375,1427.0,15285,756,2.55885043182413,amazon/chronos-2,0.5,1430.4464111328125,3.008544921875,1391.5079345703125,1433.892822265625,1472.7510986328125,out_of_calibration_2026_small_sample
2026-02-01,2026-01-30,1427.0,12,2026-02-20,1450.7,1392.22900390625,1434.3997802734375,1471.3231201171875,1427.0,15285,756,2.55885043182413,amazon/chronos-2,0.5,1430.6998901367188,3.008544921875,1389.220458984375,1434.3997802734375,1474.3316650390625,out_of_calibration_2026_small_sample
2026-02-01,2026-01-30,1427.0,13,2026-02-23,1448.7,1391.6846923828125,1434.5869140625,1472.474609375,1427.0,15285,756,2.55885043182413,amazon/chronos-2,0.5,1430.79345703125,3.008544921875,1388.6761474609375,1434.5869140625,1475.483154296875,out_of_calibration_2026_small_sample
2026-02-01,2026-01-30,1427.0,14,2026-02-24,1442.0,1390.29248046875,1434.0301513671875,1473.402587890625,1427.0,15285,756,2.55885043182413,amazon/chronos-2,0.5,1430.5150756835938,3.008544921875,1387.283935546875,1434.0301513671875,1476.4111328125,out_of_calibration_2026_small_sample
