requested_origin,forecast_origin_date,target_start,target_end,forecast_rows,split,assignment_reason
1997-01-01,1996-12-31,1997-01-03,1997-01-30,20,development_history,all_target_dates_contained
1997-02-01,1997-01-31,1997-02-03,1997-03-03,20,development_history,all_target_dates_contained
1997-03-01,1997-02-28,1997-03-03,1997-03-28,20,development_history,all_target_dates_contained
1997-04-01,1997-04-01,1997-04-02,1997-04-29,20,development_history,all_target_dates_contained
1997-05-01,1997-04-30,1997-05-02,1997-06-02,20,development_history,all_target_dates_contained
1997-06-01,1997-05-30,1997-06-02,1997-06-30,20,development_history,all_target_dates_contained
1997-07-01,1997-07-01,1997-07-02,1997-07-30,20,development_history,all_target_dates_contained
1997-08-01,1997-08-01,1997-08-04,1997-09-01,20,development_history,all_target_dates_contained
1997-09-01,1997-09-01,1997-09-02,1997-10-02,20,development_history,all_target_dates_contained
1997-10-01,1997-10-01,1997-10-02,1997-10-30,20,development_history,all_target_dates_contained
1997-11-01,1997-10-31,1997-11-03,1997-11-28,20,development_history,all_target_dates_contained
1997-12-01,1997-12-01,1997-12-02,1997-12-31,20,development_history,all_target_dates_contained
1998-01-01,1997-12-31,1998-01-05,1998-02-04,20,development_history,all_target_dates_contained
1998-02-01,1998-01-30,1998-02-02,1998-02-27,20,development_history,all_target_dates_contained
1998-03-01,1998-02-27,1998-03-02,1998-03-27,20,development_history,all_target_dates_contained
1998-04-01,1998-04-01,1998-04-02,1998-04-29,20,development_history,all_target_dates_contained
1998-05-01,1998-04-30,1998-05-04,1998-06-01,20,development_history,all_target_dates_contained
1998-06-01,1998-06-01,1998-06-02,1998-06-30,20,development_history,all_target_dates_contained
1998-07-01,1998-07-01,1998-07-02,1998-07-30,20,development_history,all_target_dates_contained
1998-08-01,1998-07-31,1998-08-03,1998-08-28,20,development_history,all_target_dates_contained
1998-09-01,1998-09-01,1998-09-02,1998-09-29,20,development_history,all_target_dates_contained
1998-10-01,1998-10-01,1998-10-02,1998-11-02,20,development_history,all_target_dates_contained
1998-11-01,1998-10-30,1998-11-02,1998-11-27,20,development_history,all_target_dates_contained
1998-12-01,1998-12-01,1998-12-02,1998-12-30,20,development_history,all_target_dates_contained
1999-01-01,1998-12-31,1999-01-04,1999-01-29,20,development_history,all_target_dates_contained
1999-02-01,1999-02-01,1999-02-02,1999-03-05,20,development_history,all_target_dates_contained
1999-03-01,1999-02-26,1999-03-02,1999-03-29,20,development_history,all_target_dates_contained
1999-04-01,1999-04-01,1999-04-02,1999-04-30,20,development_history,all_target_dates_contained
1999-05-01,1999-04-30,1999-05-03,1999-05-31,20,development_history,all_target_dates_contained
1999-06-01,1999-06-01,1999-06-02,1999-06-29,20,development_history,all_target_dates_contained
1999-07-01,1999-07-01,1999-07-02,1999-07-29,20,development_history,all_target_dates_contained
1999-08-01,1999-07-30,1999-08-02,1999-08-27,20,development_history,all_target_dates_contained
1999-09-01,1999-09-01,1999-09-02,1999-10-01,20,development_history,all_target_dates_contained
1999-10-01,1999-10-01,1999-10-04,1999-10-29,20,development_history,all_target_dates_contained
1999-11-01,1999-11-01,1999-11-02,1999-11-29,20,development_history,all_target_dates_contained
1999-12-01,1999-12-01,1999-12-02,1999-12-29,20,development_history,all_target_dates_contained
2000-01-01,1999-12-30,2000-01-04,2000-01-31,20,development_history,all_target_dates_contained
2000-02-01,2000-02-01,2000-02-02,2000-03-02,20,development_history,all_target_dates_contained
2000-03-01,2000-02-29,2000-03-02,2000-03-29,20,development_history,all_target_dates_contained
2000-04-01,2000-03-31,2000-04-03,2000-05-03,20,development_history,all_target_dates_contained
2000-05-01,2000-04-28,2000-05-02,2000-05-31,20,development_history,all_target_dates_contained
2000-06-01,2000-06-01,2000-06-02,2000-06-30,20,development_history,all_target_dates_contained
2000-07-01,2000-06-30,2000-07-03,2000-07-31,20,development_history,all_target_dates_contained
2000-08-01,2000-08-01,2000-08-02,2000-08-30,20,development_history,all_target_dates_contained
2000-09-01,2000-09-01,2000-09-04,2000-10-05,20,development_history,all_target_dates_contained
2000-10-01,2000-09-29,2000-10-02,2000-10-30,20,development_history,all_target_dates_contained
2000-11-01,2000-11-01,2000-11-02,2000-11-29,20,development_history,all_target_dates_contained
2000-12-01,2000-12-01,2000-12-04,2001-01-02,20,development_history,all_target_dates_contained
2001-01-01,2000-12-29,2001-01-02,2001-02-01,20,development_history,all_target_dates_contained
2001-02-01,2001-02-01,2001-02-02,2001-03-02,20,development_history,all_target_dates_contained
2001-03-01,2001-02-28,2001-03-02,2001-03-29,20,development_history,all_target_dates_contained
2001-04-01,2001-03-30,2001-04-02,2001-04-30,20,development_history,all_target_dates_contained
2001-05-01,2001-04-30,2001-05-02,2001-05-29,20,development_history,all_target_dates_contained
2001-06-01,2001-06-01,2001-06-04,2001-07-02,20,development_history,all_target_dates_contained
2001-07-01,2001-06-29,2001-07-02,2001-07-30,20,development_history,all_target_dates_contained
2001-08-01,2001-08-01,2001-08-02,2001-08-30,20,development_history,all_target_dates_contained
2001-09-01,2001-08-31,2001-09-03,2001-09-28,20,development_history,all_target_dates_contained
2001-10-01,2001-09-28,2001-10-04,2001-10-31,20,development_history,all_target_dates_contained
2001-11-01,2001-11-01,2001-11-02,2001-11-29,20,development_history,all_target_dates_contained
2001-12-01,2001-11-30,2001-12-03,2001-12-31,20,development_history,all_target_dates_contained
2002-01-01,2001-12-31,2002-01-02,2002-01-29,20,development_history,all_target_dates_contained
2002-02-01,2002-02-01,2002-02-04,2002-03-07,20,development_history,all_target_dates_contained
2002-03-01,2002-02-28,2002-03-04,2002-03-29,20,development_history,all_target_dates_contained
2002-04-01,2002-04-01,2002-04-02,2002-04-30,20,development_history,all_target_dates_contained
2002-05-01,2002-04-30,2002-05-02,2002-05-29,20,development_history,all_target_dates_contained
2002-06-01,2002-05-31,2002-06-03,2002-07-03,20,development_history,all_target_dates_contained
2002-07-01,2002-06-28,2002-07-02,2002-07-30,20,development_history,all_target_dates_contained
2002-08-01,2002-08-01,2002-08-02,2002-08-30,20,development_history,all_target_dates_contained
2002-09-01,2002-08-30,2002-09-02,2002-09-30,20,development_history,all_target_dates_contained
2002-10-01,2002-10-01,2002-10-02,2002-10-30,20,development_history,all_target_dates_contained
2002-11-01,2002-11-01,2002-11-04,2002-11-29,20,development_history,all_target_dates_contained
2002-12-01,2002-11-29,2002-12-02,2002-12-31,20,development_history,all_target_dates_contained
2003-01-01,2002-12-31,2003-01-02,2003-01-29,20,development_history,all_target_dates_contained
2003-02-01,2003-01-30,2003-02-03,2003-02-28,20,development_history,all_target_dates_contained
2003-03-01,2003-02-28,2003-03-03,2003-03-28,20,development_history,all_target_dates_contained
2003-04-01,2003-04-01,2003-04-02,2003-04-29,20,development_history,all_target_dates_contained
2003-05-01,2003-04-30,2003-05-02,2003-06-02,20,development_history,all_target_dates_contained
2003-06-01,2003-05-30,2003-06-02,2003-06-30,20,development_history,all_target_dates_contained
2003-07-01,2003-07-01,2003-07-02,2003-07-30,20,development_history,all_target_dates_contained
2003-08-01,2003-08-01,2003-08-04,2003-09-01,20,development_history,all_target_dates_contained
2003-09-01,2003-09-01,2003-09-02,2003-10-02,20,development_history,all_target_dates_contained
2003-10-01,2003-10-01,2003-10-02,2003-10-30,20,development_history,all_target_dates_contained
