forecast_step,rows,chronos_mae,random_walk_mae,chronos_rmse,random_walk_rmse,chronos_mase,random_walk_mase,chronos_direction_accuracy,random_walk_direction_accuracy,pinball_q0.1,pinball_q0.5,pinball_q0.9,mean_pinball_loss,interval_80_coverage,interval_mean_width,mae_improvement_vs_random_walk_percent,rmse_improvement_vs_random_walk_percent
1,348,5.991227143386317,5.131609195402302,12.031975696009534,17.36144327651586,4.40662925220241,3.9674432453935173,0.5488505747126436,0.06321839080459771,1.4620583790746227,2.9956135716931587,1.3811982007958419,1.9462900505212077,0.882183908045977,23.10936605519262,-16.75143050164839,30.697145943593796
2,348,8.697046459680314,8.362643678160913,16.702397755209624,21.409592060193667,6.29117586386283,6.378733106771149,0.5833333333333334,0.0,1.9511234151905985,4.348523229840157,2.302132670084633,2.8672597717051294,0.8017241379310345,27.530355870038612,-3.9987687433424393,21.986380178331444
3,348,10.701202918743268,10.762356321839079,20.059736693049484,26.10509319662731,7.572469629506872,8.04843951018718,0.5603448275862069,0.008620689655172414,2.452339684497351,5.350601459371634,2.888794450431033,3.563911864766672,0.7557471264367817,31.604972225496137,0.5682157444621769,23.157766409961965
4,348,12.940298917923846,12.502011494252876,22.38906646543356,26.113852733706317,8.780955858471517,8.602096822738117,0.5459770114942529,0.008620689655172414,2.8694779740256813,6.470149458961923,3.558866963002874,4.299498131996827,0.7212643678160919,34.74592222016433,-3.5057352480634676,14.263641241512428
5,348,13.831719514693336,13.71522988505747,23.952813645304143,28.05641125738782,9.284578020975447,9.611602796141975,0.5603448275862069,0.0028735632183908046,3.1092477837924295,6.915859757346668,4.00353727494163,4.676214938693576,0.6982758620689655,38.74677127531205,-0.8493450755993545,14.626238453797669
6,348,15.494274516489314,14.987356321839082,27.980239999781094,31.69973711773227,11.053568106958238,10.974901570053142,0.5574712643678161,0.0028735632183908046,3.375397661581805,7.747137258244657,4.292696140333153,5.138410353386539,0.7126436781609196,42.35980014143319,-3.382305616578743,11.733526698145878
7,348,16.07766909544495,16.153160919540227,28.039748555762365,31.729888643569694,11.616897980852128,12.127392792345828,0.5545977011494253,0.008620689655172414,3.508750206958288,8.038834547722475,4.679170321760503,5.408918358813755,0.7068965517241379,43.85330708821615,0.4673501642886229,11.629855147806087
8,348,16.698046594378592,17.049425287356325,31.490706651019476,35.60561753431612,12.518721705941683,13.356687907439573,0.5431034482758621,0.005747126436781609,3.7588421806247743,8.349023297189296,5.306677796813264,5.804847758209111,0.7385057471264368,47.83308393105693,2.0609415687361103,11.556914802364421
9,348,18.03464358976518,18.333045977011498,37.126749691792845,41.02338728820063,13.875796917433817,14.762462814196214,0.5402298850574713,0.0,3.845377548042386,9.01732179488259,5.99700047635484,6.286566606426606,0.735632183908046,50.295111820615574,1.6276748971256292,9.49857594408972
10,348,18.891493137403472,19.02385057471265,38.6097265463997,40.70322962983221,14.440442644099214,15.023857886151763,0.5459770114942529,0.005747126436781609,4.213977377003637,9.445746568701736,6.148928892639863,6.6028842794484115,0.7241379310344828,53.5302611603134,0.6957447273325067,5.143334085455811
